array,site,buffer_dist,AIRP-RUNWAY,BORROWPIT-DRY,BORROWPIT-WET,BORROWPITS,CAMP-INDUSTRIAL,CAMPGROUND,CANAL,CFO,CLEARING-UNKNOWN,CLEARING-WELLPAD-UNCONFIRMED,CONVENTIONAL-SEISMIC,COUNTRY-RESIDENCE,CROP,CULTIVATION_ABANDONED,DUGOUT,FACILITY-OTHER,FACILITY-UNKNOWN,GREENSPACE,GRVL-SAND-PIT,HARVEST-AREA-1940,HARVEST-AREA-1950,HARVEST-AREA-1960,HARVEST-AREA-1963,HARVEST-AREA-1970,HARVEST-AREA-1971,HARVEST-AREA-1972,HARVEST-AREA-1973,HARVEST-AREA-1975,HARVEST-AREA-1976,HARVEST-AREA-1977,HARVEST-AREA-1978,HARVEST-AREA-1979,HARVEST-AREA-1980,HARVEST-AREA-1984,HARVEST-AREA-1985,HARVEST-AREA-1986,HARVEST-AREA-1987,HARVEST-AREA-1988,HARVEST-AREA-1989,HARVEST-AREA-1990,HARVEST-AREA-1991,HARVEST-AREA-1992,HARVEST-AREA-1993,HARVEST-AREA-1994,HARVEST-AREA-1995,HARVEST-AREA-1996,HARVEST-AREA-1997,HARVEST-AREA-1998,HARVEST-AREA-1999,HARVEST-AREA-2000,HARVEST-AREA-2001,HARVEST-AREA-2002,HARVEST-AREA-2003,HARVEST-AREA-2004,HARVEST-AREA-2005,HARVEST-AREA-2006,HARVEST-AREA-2007,HARVEST-AREA-2008,HARVEST-AREA-2009,HARVEST-AREA-2010,HARVEST-AREA-2011,HARVEST-AREA-2012,HARVEST-AREA-2013,HARVEST-AREA-2014,HARVEST-AREA-2015,HARVEST-AREA-2016,HARVEST-AREA-2017,HARVEST-AREA-2018,HARVEST-AREA-2019,HARVEST-AREA-2020,HARVEST-AREA-2021,HARVEST-AREA-WHITE-ZONE,LAGOON,LOW-IMPACT-SEISMIC,MINES-OILSANDS,MISC-OIL-GAS-FACILITY,OIL-GAS-PLANT,OPEN-PIT-MINE,PIPELINE,RESERVOIR,RESIDENCE_CLEARING,RIS-BORROWPITS,RIS-CAMP-INDUSTRIAL,RIS-CLEARING-UNKNOWN,RIS-DRAINAGE,RIS-FACILITY-OPERATIONS,RIS-FACILITY-UNKNOWN,RIS-MINES-OILSANDS,RIS-OILSANDS-RMS,RIS-OVERBURDEN-DUMP,RIS-RECLAIMED-PERMANENT,RIS-RECLAIMED-TEMP,RIS-ROAD,RIS-SOIL-REPLACED,RIS-SOIL-SALVAGED,RIS-TAILING-POND,RIS-TRANSMISSION-LINE,RIS-UTILITIES,RIS-WINDROW,RLWY-SGL-TRACK,ROAD-GRAVEL-1L,ROAD-GRAVEL-2L,ROAD-PAVED-DIV,ROAD-PAVED-UNDIV-1L,ROAD-PAVED-UNDIV-2L,ROAD-UNCLASSIFIED,ROAD-UNIMPROVED,ROAD-WINTER,ROUGH_PASTURE,RUNWAY,RURAL-RESIDENCE,SUMP,SURROUNDING-VEG,TAILING-POND,TAME_PASTURE,TRAIL,TRANSMISSION-LINE,TRUCK-TRAIL,URBAN-INDUSTRIAL,URBAN-RESIDENCE,VEGETATED-EDGE-RAILWAYS,VEGETATED-EDGE-ROADS,WELL-ABAND,WELL-BITUMEN,WELL-CASED,WELL-GAS,WELL-OIL,WELL-OTHER,WELL-UNKNOWN,WELL_CLEARED_NOT_CONFIRMED,WELL_CLEARED_NOT_DRILLED
LU1,LU1_10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU1,LU1_10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU1,LU1_10,250,0,0,0,0,0,0,0,0,0,0,0.007995087172284985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030379587754423426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00852643295507374,0,0,0,0,0,0,0,0,0,0,0.04388802943363848,0,0,0,0.003653371553054399,0,0,0,0,0,0.0075898518917902405,0.021224722737566665,0.011365379551998352,0,0,0,0,0,0,0
LU1,LU1_10,500,0,0,0,0,0,0,0,0,0,0,0.004235653983471239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016425866903942963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01934640222399685,0,0,0,0,0,0,0,0,0,0,0.012726001127902922,0,0,0,0.0023478393685085804,0,0,0,0,0,0.023777191665001043,0.024554987762727996,0.019057263011015263,0,0,0,0,0,0,0
LU1,LU1_10,750,0,0,0,0,0,0,0,0,0.0020693830801399842,0,0.0030124407163031764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02381229719229388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014922067549451603,0,0,0,0,0,0,0,0,0,0,0.005656000501291941,0,0,0,0.002024631714242787,0,0,0,0,0,0.021046313382529436,0.021992981398784094,0.01288329513860106,0,0,0,0,0,0,0
LU1,LU1_10,1000,0,0,0,0,0,0,0,0,0.0013298274906404623,0,0.0032987501747640375,0,0,0,0,0,0,0,0.004068502782606936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5171166777093593e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022958842766352572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01146340375862336,0,0,0,0,0,0,0,0.0035065849436848174,0,0,0.00318150028197664,0,0,0,0.0021228372096902563,0,0,0,0,0,0.01703619329818376,0.021683632246098764,0.00770793886867733,0,0,0,0,0,0,0
LU1,LU1_10,1250,0,0,0,0,0,0,0,0,0.016852784662526325,0,0.0028543463083490167,0,0,0,0,0,0,0,0.013158856694204106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005468187473022151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02112553640374657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009341722980876939,0,0,0,0,0,6.088566542751836e-4,0,0.007883160327019353,0,0,0.0020361601804652915,0,0,0.005086240806364753,0.0019480838924557944,0,0,0,0,0,0.015076318171028733,0.02190657412680886,0.006266865838436889,0,0,0,0.001676260668672312,0,0,0
LU1,LU1_10,1500,0,0,0,0,0,0,0,0,0.016073772639084605,0,0.0037082731520944007,0,0,0,0,0,0,0,0.00960790259632177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008978985229861762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020013610275901282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007959497532193202,0,0,0,0,0,5.679696500833201e-4,0,0.00712165041616612,0,0,0.0014140001253227369,0,0,0.018435089852468656,0.0019639510073047512,0,0,0,0,0,0.01353018103974916,0.01961663178050999,0.004351990165579997,1.8358047589472803e-4,0,0,0.003201887508218017,0,0,0
LU1,LU1_10,1750,0,0,0,0,0,0,0,0,0.0118093023470827,0,0.004971521423312779,0,0,0,0,0,0,0,0.007058867213624236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006596805475000552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018306087476047523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00712539045524672,0,0,0,0,0,5.655443554775765e-4,0,0.006626602555724062,0,0,0.001038857234931002,0,0,0.016611317052185024,0.002332200067748748,0,0,0,0,0,0.011883650339548902,0.016988965466408337,0.003197380529813911,8.310659240348241e-4,0,0,0.0031960402251539027,0,0,0
LU1,LU1_10,2000,0,0,0,0,0,0,0,0,0.009041497109486138,0,0.005272807636168798,0,0,0,0,0,0,0,0.005404445210431622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005050679191797826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017505301772515146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007710209875604886,0,0,0,0,0,4.329948971625648e-4,0,0.005957919622610639,0,0,7.953750704941317e-4,0,0,0.019567612851963637,0.001974590330330613,0,0,0,0,0,0.012072232825945781,0.015339867322296622,0.0036274831863223893,0.0012051642306366837,0,0,0.004683095436987489,0,0,0
