array,site,lat,long
LU2,LU2_3,54.871919999999996,-111.48897
LU2,LU2_5,54.87287,-111.40779
LU2,LU2_100,54.99404,-111.76688
LU2,LU2_101,54.86738,-111.41208
LU2,LU2_106,54.88816,-111.78943
LU2,LU2_110,54.917919999999995,-111.47919
LU2,LU2_119,54.988879999999995,-111.78169000000001
LU2,LU2_123,55.00679,-111.66826
LU2,LU2_13,54.89791,-111.40125000000002
LU2,LU2_137,54.94295,-111.59875
LU2,LU2_143,54.93758,-111.43214
LU2,LU2_15,54.907869999999996,-111.38586
LU2,LU2_153,54.988679999999995,-111.49073
LU2,LU2_155,54.97483,-111.40751000000002
LU2,LU2_17,54.92504,-111.50986999999999
LU2,LU2_18,54.920970000000004,-111.45886
LU2,LU2_20,54.95559,-111.63136
LU2,LU2_21,54.94711,-111.62396999999999
LU2,LU2_24,54.975930000000005,-111.78605
LU2,LU2_25,54.970279999999995,-111.63915
LU2,LU2_26,54.96789,-111.41759000000002
LU2,LU2_27,55.00145,-111.65133999999999
LU2,LU2_29,54.85585999999999,-111.56660000000001
LU2,LU2_30,54.85813,-111.60097999999999
LU2,LU2_31,54.86417,-111.47372
LU2,LU2_32,54.862350000000006,-111.44610000000002
LU2,LU2_33,54.86687,-111.50648
LU2,LU2_34,54.88479999999999,-111.40033
LU2,LU2_36,54.92015000000001,-111.3576
LU2,LU2_38,54.92608,-111.52653
LU2,LU2_39,54.92213000000001,-111.49615000000001
LU2,LU2_40,54.93723,-111.58392
LU2,LU2_42,54.92949,-111.45815
LU2,LU2_44,54.954519999999995,-111.42569999999999
LU2,LU2_46,54.96857000000001,-111.51454000000001
LU2,LU2_47,54.97673,-111.64797
LU2,LU2_50,54.97719,-111.49719000000002
LU2,LU2_51,54.99653000000001,-111.47964
LU2,LU2_52,54.99463,-111.40199000000001
LU2,LU2_54,55.003310000000006,-111.41174000000001
LU2,LU2_56,55.01672,-111.39808
LU2,LU2_57,55.04159,-111.39145
LU3,LU3_5,55.34055,-110.86127
LU3,LU3_7,55.40634,-110.75082
LU3,LU3_10,55.43207,-110.78266
LU3,LU3_102,55.33055,-110.85629
