rootfolder,file,relativepath,deleteflag,array,camera,site,classifier,snow,species,total,male,female,unknownsex,adult,yly,yoy,unknownage,group_count,g_male,g_female,g_unknownsex,g_adult,g_yly,g_yoy,gunknownage,event,empty,coatcolour,leftantler,rightantler,lcount,rcount,cameramalfunction,otherspecify,comments,noteworthy,datetime,folder,imagequality,month,year
Deployment 1,IMG_0001.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Start,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:40:07Z,NA,NA,7,2021
Deployment 1,IMG_0002.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:40:08Z,NA,NA,7,2021
Deployment 1,IMG_0003.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:40:12Z,NA,NA,7,2021
Deployment 1,IMG_0004.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:40:14Z,NA,NA,7,2021
Deployment 1,IMG_0005.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:40:16Z,NA,NA,7,2021
Deployment 1,IMG_0006.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:40:23Z,NA,NA,7,2021
Deployment 1,IMG_0007.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:41:06Z,NA,NA,7,2021
Deployment 1,IMG_0008.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:41:09Z,NA,NA,7,2021
Deployment 1,IMG_0009.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:41:11Z,NA,NA,7,2021
Deployment 1,IMG_0010.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:41:13Z,NA,NA,7,2021
Deployment 1,IMG_0011.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:41:15Z,NA,NA,7,2021
Deployment 1,IMG_0012.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:41:22Z,NA,NA,7,2021
Deployment 1,IMG_0013.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:41:23Z,NA,NA,7,2021
Deployment 1,IMG_0014.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:41:29Z,NA,NA,7,2021
Deployment 1,IMG_0015.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:41:30Z,NA,NA,7,2021
Deployment 1,IMG_0016.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:41:33Z,NA,NA,7,2021
Deployment 1,IMG_0017.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:41:47Z,NA,NA,7,2021
Deployment 1,IMG_0018.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:41:50Z,NA,NA,7,2021
Deployment 1,IMG_0019.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:41:53Z,NA,NA,7,2021
Deployment 1,IMG_0020.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:42:02Z,NA,NA,7,2021
Deployment 1,IMG_0021.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:42:04Z,NA,NA,7,2021
Deployment 1,IMG_0022.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:42:07Z,NA,NA,7,2021
Deployment 1,IMG_0023.JPG,NA,FALSE,LU2,03,LU2_03,AFB,0,Staff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021-07-15T11:42:10Z,NA,NA,7,2021
