"","model_name","AIC","logLik"
"1","harvest_250",2591.1904116901,-1292.59520584505
"2","harvest_500",2586.36605192725,-1290.18302596362
"3","harvest_750",2581.67077266535,-1287.83538633268
"4","harvest_1000",2584.0609119583,-1289.03045597915
"5","harvest_1250",2586.14105295882,-1290.07052647941
"6","harvest_1500",2588.30253769605,-1291.15126884803
"7","harvest_1750",2589.25548866194,-1291.62774433097
"8","harvest_2000",2588.8519591159,-1291.42597955795
"9","harvest_2250",2589.87526885873,-1291.93763442936
"10","harvest_2500",2589.37475282255,-1291.68737641128
"11","harvest_2750",2587.82936901572,-1290.91468450786
"12","harvest_3000",2587.59134347284,-1290.79567173642
"13","harvest_3250",2587.62475221153,-1290.81237610577
"14","harvest_3500",2589.79792988655,-1291.89896494328
"15","harvest_3750",2590.9557649443,-1292.47788247215
"16","harvest_4000",2591.80136581049,-1292.90068290524
"17","harvest_4250",2592.16508736642,-1293.08254368321
"18","harvest_4500",2592.24567555881,-1293.1228377794
"19","harvest_4750",2591.89572187718,-1292.94786093859
"20","harvest_5000",2591.67887006546,-1292.83943503273
