"","model_name","AIC","logLik"
"1","harvest_750",2581.67077266535,-1287.83538633268
"2","roads_2000",2430.25896166269,-1212.12948083135
"3","veg_edges_4250",2446.10360981,-1220.051804905
"4","wells_4500",2551.21273564511,-1272.60636782256
"5","grassland_750",2568.24274430675,-1281.12137215338
"6","coniferous_250",2591.02783358734,-1292.51391679367
"7","broadleaf_250",2553.0225547561,-1273.51127737805
"8","mixed_1000",2584.22382549328,-1289.11191274664
"9","shrub_1000",2577.47665984406,-1285.73832992203
"10","osm_industrial_1500",2458.8963130216,-1226.4481565108
"11","seismic_1500",2549.1351793545,-1271.56758967725
"12","linear_1000",2499.37091839147,-1246.68545919573
