"","model_name","AIC","logLik"
"1","veg_edges_250",2587.23632512571,-1290.61816256285
"2","veg_edges_500",2587.71429331177,-1290.85714665589
"3","veg_edges_750",2567.94129065635,-1280.97064532817
"4","veg_edges_1000",2523.73857144385,-1258.86928572193
"5","veg_edges_1250",2474.91407529333,-1234.45703764667
"6","veg_edges_1500",2490.79241039477,-1242.39620519739
"7","veg_edges_1750",2484.62394627073,-1239.31197313537
"8","veg_edges_2000",2466.93702888432,-1230.46851444216
"9","veg_edges_2250",2465.18650246862,-1229.59325123431
"10","veg_edges_2500",2460.14744147201,-1227.07372073601
"11","veg_edges_2750",2457.46954969213,-1225.73477484606
"12","veg_edges_3000",2453.32251693894,-1223.66125846947
"13","veg_edges_3250",2455.60167722844,-1224.80083861422
"14","veg_edges_3500",2452.47392444414,-1223.23696222207
"15","veg_edges_3750",2449.07557538865,-1221.53778769432
"16","veg_edges_4000",2446.94244771235,-1220.47122385618
"17","veg_edges_4250",2446.10360981,-1220.051804905
"18","veg_edges_4500",2447.17274549545,-1220.58637274773
"19","veg_edges_4750",2446.57002649336,-1220.28501324668
"20","veg_edges_5000",2451.12104510386,-1222.56052255193
