"Site","BUFF_DIST","Feature_Area","Buffer_Area","HARVEST-AREA","WELL-BITUMEN","WELL-OIL","PIPELINE","WELL-OTHER","CLEARING-WELLPAD-UNCONFIRMED","CLEARING-UNKNOWN","WELL-ABAND","MISC-OIL-GAS-FACILITY","URBAN-RESIDENCE","COUNTRY-RESIDENCE","CONVENTIONAL-SEISMIC","TRAIL","HARVEST-AREA-WHITE-ZONE","ROUGH_PASTURE","WELL-GAS","WELL-CASED","VEGETATED-EDGE-ROADS","ROAD-GRAVEL-1L","ROAD-GRAVEL-2L","ROAD-UNIMPROVED","TRUCK-TRAIL","ROAD-UNCLASSIFIED","ROAD-PAVED-UNDIV-2L","BORROWPITS","BORROWPIT-DRY","BORROWPIT-WET","SUMP","LOW-IMPACT-SEISMIC","OIL-GAS-PLANT","GRVL-SAND-PIT","TRANSMISSION-LINE","SURROUNDING-VEG","CAMP-INDUSTRIAL","VEGETATED-EDGE-RAILWAYS","FACILITY-UNKNOWN","LAGOON","RUNWAY","FACILITY-OTHER","OPEN-PIT-MINE","RIS-TRANSMISSION-LINE","RIS-CLEARING-UNKNOWN","RIS-FACILITY-UNKNOWN","RIS-FACILITY-OPERATIONS","RIS-PLANT","URBAN-INDUSTRIAL","RIS-OILSANDS-RMS","RIS-RECLAIMED-PERMANENT","MINES-OILSANDS","RIS-SOIL-SALVAGED","RIS-WASTE","RIS-DRAINAGE","RIS-ROAD","AIRP-RUNWAY","RIS-BORROWPITS","TAME_PASTURE","RIS-TAILING-POND","RIS-RECLAIMED-TEMP","ROAD-WINTER","RECREATION","GREENSPACE","WELL_CLEARED_NOT_CONFIRMED","RIS-RECLAIMED-CERTIFIED","RIS-SOIL-REPLACED","RIS-MINES-OILSANDS","RIS-WINDROW","TAILING-POND","RIS-OVERBURDEN-DUMP","CANAL","RLWY-MLT-TRACK","ROAD-PAVED-2L","ROAD-UNPAVED-2L","ROAD-PAVED-3L","ROAD-PAVED-DIV","CAMPGROUND","RESERVOIR","ROAD-PAVED-1L","CULTIVATION_ABANDONED","RLWY-SGL-TRACK","CROP","RURAL-RESIDENCE","ROAD-PAVED-UNDIV-1L","RESIDENCE_CLEARING","GOLFCOURSE","LANDFILL","TRANSFER_STATION","WELL_CLEARED_NOT_DRILLED","WELL-UNKNOWN","RIS-CAMP-INDUSTRIAL","RIS-UTILITIES","RIS-RECLAIM-READY","RIS-AIRP-RUNWAY","DUGOUT","RIS-TANK-FARM","MILL","MINES-PITLAKE","RLWY-DBL-TRACK","ROAD-PAVED-4L","INTERCHANGE-RAMP","ROAD-PAVED-5L"
"LU09_05","250","0","196259.83591095","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.068741473539886","0","0.030723257026497","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_06","250","0","196259.835911033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0659662617141886","0","0.029058140619542","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_07","250","0","196259.835910961","0","0","0","0","0","0","0","1.6969764339094e-05","0","0","0","0.00866773228029729","0","0","0","0","0","0.0914622028146193","0","0","0","0","0","0.0393234754056312","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_08","250","0","196259.835910984","0","0","0","0","0","0","0","0","0","0","0","0.00123783061453613","0","0","0","0","0","0.0680394582085413","0","0","0","0","0","0.0304272536784566","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_100","250","0","196259.835910934","0","0.0899812143199708","0","0.0480220458360988","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0207765321656572","0.0178250020389236","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0688796303837587","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_102","250","0","196259.835910987","0","0","0","0","0","0","0","0","0","0","0","0.0436611849286127","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_106","250","0","196259.835910991","0","0.044018127361441","0","0.00721839827310143","0","0","0","0","0","0","0","0.0104767884938601","0","0","0","0","0","0.0179644518235375","0.0100069657617661","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_112","250","0","196259.835910913","0","0","0","0.0189638421362452","0","0","0","0","0","0","0","0.0376216187207029","0","0","0","0","0","0.0228120421467238","0.0229586962278278","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_113","250","0","196259.835910942","0","0.0399584751739423","0","0.0289590919525095","0","0","0","0","0","0","0","0","0","0","0","0","0.0274727192540499","0.0369723049496717","0.0304115942343421","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU09_12","250","0","196259.835911004","0","0","0","0","0","0","0","0","0","0","0","0.00634214140644002","0","0","0","0","0","0.0677301164774876","0","0","0","0","0","0.0290921871421907","0","0","0.146681597731459","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
