"Site","BUFF_DIST","LC_class20","LC_class32","LC_class33","LC_class34","LC_class50","LC_class110","LC_class120","LC_class210","LC_class220","LC_class230"
"LU09_05","250","0.0193562276515571","0","0","0.202157706836989","0","0","0","0.731797824021586","0.0466881433896024","0"
"LU09_06","250","0","0","0","0.176810184753438","0","0","0","0.0297070957644241","0.468829298304564","0.324653408593514"
"LU09_07","250","0","0","0","0.239019666603731","0","0","0","0.516076196431151","0.172954478826442","0.0719496062085955"
"LU09_08","250","0","0","0","0.0982956135244816","0","0","0","0.0601888036820113","0.841515574103855","0"
"LU09_100","250","0","0","0","0.234255725300344","0","0.746807495743412","0","0.0189367288425206","0","0"
"LU09_102","250","0","0","0","0","0.342737801490559","0","0","0.262781623767397","0.144529168841969","0.249951405902523"
"LU09_106","250","0","0","0","0.0428635146459391","0","0.957136495032845","0","0","0","0"
"LU09_112","250","0","0","0","0.171572856115807","0.750990292854915","0.077436825444781","0","0","0","0"
"LU09_113","250","0","0","0","0.176169309214725","0","0","0","0.331832434686635","0","0.491998273807792"
"LU09_12","250","0","0","0","0.170472073422631","0","0","0","0","0.829527811327939","0"
"LU09_13","250","0","0","0","0.000338346768591415","0","0","0","0.999661656308194","0","0"
"LU09_18","250","0","0","0","0.152618521116255","0","0","0","0","0.847381390537813","0"
"LU09_21","250","0","0","0.00774980054968971","0.0991970791903176","0","0","0","0.234093394952045","0.65895977631883","0"
"LU09_24","250","0","0","0","0.158666997694607","0.00881748574260597","0.126625719005005","0","0.177513327793001","0.461490573351781","0.0668859416426041"
"LU09_28","250","0","0","0","0.184115111376842","0","0","0","0.185573739759079","0.630311198520697","0"
"LU09_29","250","0","0","0","0.265781528912759","0","0.0923265153595847","0","0.298119146580809","0.343772700221834","0"
"LU09_30","250","0","0","0","0.179698207446327","0","0","0","0.0828940112754673","0.737407774396676","0"
"LU09_31","250","0","0","0","0.22257258421727","0","0","0","0.0471067137969884","0.539639913337143","0.190680790009247"
"LU09_32","250","0","0","0","0.0886414999823257","0","0","0","0.0222458173225462","0.889112682594109","0"
"LU09_33","250","0","0","0","0.140725429090226","0","0","0","0","0.752546689955885","0.106727882071698"
"LU09_39","250","0","0","0","0.115806739421147","0","0.180369979796264","0","0.703823245241438","0","0"
