"Site","BUFF_DIST","LC_class20","LC_class33","LC_class34","LC_class50","LC_class110","LC_class120","LC_class210","LC_class220","LC_class230","Gridcll","Lab"
"LU2-03",250,0,0,0,0,0,0,0.158368824839893,0.837519018061021,0.00411215709864713,"LU2-03","ACME"
"LU2-05",250,0,0,0.190478626092238,0.171111899334046,0,0,0.082067821961643,0.133795547121425,0.42254606418198,"LU2-05","ACME"
"LU2-100",250,0,0,0.211846438308165,0,0.21424596387726,0,0.0306980361635038,0,0.543209609459297,"LU2-100","ACME"
"LU2-101",250,0,0,0.163240527044432,0,0,0,0.223690207009003,0.613069235278397,0,"LU2-101","ACME"
"LU2-106",250,0,0,0.365713191212993,0,0.405732086590592,0,0.18305389479578,0,0.0455007750009709,"LU2-106","ACME"
"LU2-110",250,0,0,0.273808512540965,0,0,0,0.0386536172466729,0.161341505729957,0.526196428674254,"LU2-110","ACME"
"LU2-119",250,0,0,0.184818677905931,0.133487077612063,0,0,0.178882102358966,0.232980474197534,0.269831650371269,"LU2-119","ACME"
"LU2-123",250,0,0,0.108042479528836,0,0,0,0,0,0.891957581032307,"LU2-123","ACME"
"LU2-13",250,0,0,0.196274231781149,0,0,0,0.521802957398966,0,0.281922874396736,"LU2-13","ACME"
"LU2-137",250,0,0,0.214338793551302,0,0.200927808249557,0,0.0113612445038641,0.477794177465824,0.0955779533517053,"LU2-137","ACME"
"LU2-143",250,0,0,0,0,0,0,0,0.662930804888053,0.337069195112011,"LU2-143","ACME"
"LU2-15",250,0,0,0.213756474372267,0,0,0,0,0.744214934975345,0.0420286189844045,"LU2-15","ACME"
"LU2-153",250,0,0,0.194579797980624,0,0.267060007019777,0,0,0.352078310543125,0.186281939242649,"LU2-153","ACME"
"LU2-155",250,0,0,0,0.00964970286848223,0,0,0,0.482419463778468,0.507930833352547,"LU2-155","ACME"
"LU2-17",250,0,0,0.184570244166037,0.0314034768819894,0,0,0,0.212674414831496,0.571351870106468,"LU2-17","ACME"
"LU2-18",250,0,0,0.16916851827812,0,0,0,0.464932686975673,0,0.36589875251801,"LU2-18","ACME"
"LU2-20",250,0,0,0.133346949514536,0,0.0022868929415028,0,0,0.828773678013411,0.0355925375155254,"LU2-20","ACME"
"LU2-21",250,0,0,0.168784109847168,0,0,0,0.154270991099262,0.498961461504403,0.177983484490441,"LU2-21","ACME"
"LU2-24",250,0.198381464993258,0,0.184810938304415,0,0.086125475215081,0,0.0644275201467812,0.0901940401848829,0.376060547303137,"LU2-24","ACME"
"LU2-25",250,0,0,0.0750362805663049,0,0,0,0.702534089134155,0,0.222429506074705,"LU2-25","ACME"
"LU2-26",250,0,0,0,0,0,0,0.438273211498423,0,0.561726788501094,"LU2-26","ACME"
"LU2-27",250,0,0,0.221496970784284,0,0.125379800784885,0,0,0,0.653123279591082,"LU2-27","ACME"
"LU2-29",250,0,0,0.00626107731296666,0.0745277762011486,0,0,0.166233653808766,0.748226924397071,0.00475055171339934,"LU2-29","ACME"
"LU2-30",250,0,0,0.139201760997122,0,0,0,0,0.694429838961036,0.166368411209125,"LU2-30","ACME"
"LU2-31",250,0,0,0.132496802126388,0,0,0,0.66185489110244,0.19933687623906,0.00631143259793388,"LU2-31","ACME"
"LU2-32",250,0,0,0,0,0,0,0.718339005546265,0,0.281660994453826,"LU2-32","ACME"
"LU2-33",250,0,0,0.171405007606423,0,0,0,0,0.169512802713404,0.659082198752335,"LU2-33","ACME"
"LU2-34",250,0,0,0.114889334381949,0,0,0,0.192031220299656,0.382057755812051,0.31102163471157,"LU2-34","ACME"
"LU2-36",250,0,0,0,0,0,0,0,1.00000000000004,0,"LU2-36","ACME"
"LU2-38",250,0,0,0.121200753075154,0.288772185274166,0,0,0,0.447727192622825,0.142299890973255,"LU2-38","ACME"
"LU2-39",250,0,0,0.194681298981977,0,0,0,0.410201360911662,0.00600998327167352,0.38910737351203,"LU2-39","ACME"
"LU2-40",250,0,0,0.271148110573576,0,0,0,0,0.218296232909738,0.510555644998964,"LU2-40","ACME"
"LU2-42",250,0,0,0.0727769254827122,0,0,0,0,0.361715943060687,0.565507257392114,"LU2-42","ACME"
"LU2-44",250,0,0,0,0,0,0,0.48561091686968,0,0.514389083130555,"LU2-44","ACME"
"LU2-46",250,0,0,0,0,0,0,0.609950930257839,0.110289332374651,0.279759737367186,"LU2-46","ACME"
"LU2-47",250,0,0,0.109853081234258,0,0,0,0,0.817969611759915,0.0721773407847285,"LU2-47","ACME"
"LU2-50",250,0,0,0.21023560415949,0,0,0,0,0.0490555304647066,0.740708863859853,"LU2-50","ACME"
"LU2-51",250,0,0,0.257828958412978,0,0.00702561364284253,0,0,0.692519182935851,0.0426262376361651,"LU2-51","ACME"
"LU2-52",250,0,0,0,0,0,0,0.242542922002169,0,0.757457077998036,"LU2-52","ACME"
"LU2-54",250,0,0,0.177811640227113,0,0,0,0.235675483823494,0.00121290643378868,0.58529996992341,"LU2-54","ACME"
"LU2-56",250,0,0,0.144814250652094,0,0,0,0.559522363009987,0.295663417627928,0,"LU2-56","ACME"
"LU2-57",250,0,0,0,0,0.125995457982834,0,0.000373643707612101,0.775572020192782,0.0980588781164969,"LU2-57","ACME"
"2-0-CA22B",250,0,0,0.0750180356968743,0,0,0,0.241713215231062,0,0.683268611407716,"LU2-22","ABMI"
"2-0-CA16B",250,0,0,0,0,0,0,0.86752910367091,0,0.132470896328996,"LU2-16","ABMI"
"2-0-CA48B",250,0,0,0.150210397030165,0.22523803079321,0.189972868204226,0,0,0.252236306017486,0.18234229024039,"LU2-48","ABMI"
"2-0-CA49B",250,0,0,0,0,0.368411833026085,0,0,0.100166066192183,0.531422100781358,"LU2-49","ABMI"
"2-1B1-CA21B",250,0,0,0,0,0.0428970815405714,0,0.589819546374238,0.367283372085205,0,"LU2-21","ABMI"
"LU3-05",250,0,0,0.111905367243506,0,0,0,0.588618389902792,0,0.299476144628426,"LU3-05","ACME"
"LU3-07",250,0,0,0,0,0.253633937779533,0,0.746366062220721,0,0,"LU3-07","ACME"
"LU3-10",250,0,0,0.267169168105499,0,0,0,0.732197189248283,0.000633822504787389,0,"LU3-10","ACME"
"LU3-102",250,0,0,0.0839934011380876,0,0,0,0.916006725232925,0,0,"LU3-102","ACME"
"LU3-103",250,0,0,0,0,0,0,0.973729674366952,0.0262703256328156,0,"LU3-103","ACME"
"LU3-111",250,0,0,0,0.306641823933904,0.105827488438364,0,0.474635184733269,0.00319358003582065,0.109701922858587,"LU3-111","ACME"
"LU3-126",250,0,0,0,0,0,0,1.00000000000007,0,0,"LU3-126","ACME"
"LU3-129",250,0,0,0,0,0.20027897795811,0,0.799721022042328,0,0,"LU3-129","ACME"
"LU3-13",250,0,0,0,0.867961778116966,0,0,0,0,0.132038221885981,"LU3-13","ACME"
"LU3-131",250,0,0,0,0,0.000857824056786378,0,0.99914217594323,0,0,"LU3-131","ACME"
"LU3-137",250,0,0,0.209900558801194,0.507246529737512,0.16429525114622,0,0,0,0.118557633132093,"LU3-137","ACME"
"LU3-14",250,0,0,0.0658490309697577,0.934150854742307,0,0,0,0,0,"LU3-14","ACME"
"LU3-147",250,0,0.210161151289457,0.00230169091998688,0,0.100551994895158,0,0.531350861730423,0.155634294697643,0,"LU3-147","ACME"
"LU3-15",250,0,0,0.0682204930426805,0,0,0,0.643775604745647,0,0.288003984047255,"LU3-15","ACME"
"LU3-17",250,0,0,0,0,0.129405275806794,0,0.80982550203581,0,0.0607692221602503,"LU3-17","ACME"
"LU3-18",250,0,0,0.111040947101253,0.543988671358474,0,0,0.3449703863101,0,0,"LU3-18","ACME"
"LU3-19",250,0,0,0,0,0.133541278644042,0,0.866458721357406,0,0,"LU3-19","ACME"
"LU3-20",250,0,0,0,0,0,0,0.999999999999953,0,0,"LU3-20","ACME"
"LU3-21",250,0,0,0,0,0,0,0.881027466953566,0.0695204617958888,0.0494520712504051,"LU3-21","ACME"
"LU3-25",250,0.230596756847008,0,0,0,0,0,0.227843084432806,0,0.541560158720343,"LU3-25","ACME"
"LU3-27",250,0,0,0.1152431032221,0,0.132232622266248,0,0.752524317418515,0,0,"LU3-27","ACME"
"LU3-28",250,0,0,0.0419161155342764,0,0.188670361886378,0,0.115878216867533,0.0652012123544393,0.588334095152874,"LU3-28","ACME"
"LU3-32",250,0,0,0,0.144162454679259,0,0,0.732622013456523,0,0.123215531863981,"LU3-32","ACME"
"LU3-36",250,0,0,0,1.00000000000008,0,0,0,0,0,"LU3-36","ACME"
"LU3-38",250,0,0,0.171678340230247,0,0,0,0.505311302211688,0.196097068791834,0.126913372851148,"LU3-38","ACME"
"LU3-39",250,0,0,0,0.831242520507418,0,0,0,0.16875747948986,0,"LU3-39","ACME"
"LU3-40",250,0.240651717235657,0,0,0.759348282764758,0,0,0,0,0,"LU3-40","ACME"
"LU3-41",250,0,0,0,0.325079373803144,0,0,0,0.138197205086395,0.536723421110011,"LU3-41","ACME"
"LU3-44",250,0,0,0.210020819306776,0,0,0,0.717133712738687,0,0.0728454795148945,"LU3-44","ACME"
"LU3-45",250,0,0,0,0,0,0,0.0915718814011635,0.239379457232951,0.669048661368416,"LU3-45","ACME"
"LU3-46",250,0,0,0,0,0,0,0.895802750414276,0.104197249585647,0,"LU3-46","ACME"
"LU3-48",250,0,0,0.187472226505202,0.812527915754327,0,0,0,0,0,"LU3-48","ACME"
"LU3-50",250,0,0,0.0724269165437352,0,0,0,0.626409999634925,0,0.301163062240091,"LU3-50","ACME"
"LU3-51",250,0,0,0,0,0,0,0.959078811228627,0.0409211887713039,0,"LU3-51","ACME"
"LU3-52",250,0,0,0,0,0.494861564703665,0,0.0328076426068485,0.0937298229266921,0.378600969765498,"LU3-52","ACME"
"LU3-49",250,0,0,0,0.992690615314325,0,0,0.00730938468568249,0,0,"LU3-49","ACME"
"3-0-CA16B",250,0,0,0,1.00000000000005,0,0,0,0,0,"LU3-16","ABMI"
"3-0-CA22B",250,0,0,0,0,0.180142931779341,0,0.819857068220945,0,0,"LU3-22","ABMI"
"3-2C1-CA43B",250,0,0,0.167666274682523,0,0,0,0.165950539663994,0.557996387715844,0.108386751603225,"LU3-43","ABMI"
"3-2B1-CA38B",250,0,0,0.0131603644035687,0,0.0858016467347794,0,0.139302800320842,0.354614950978322,0.40712019459905,"LU3-38","ABMI"
"3-0-CA33B",250,0,0,0,0.727022806798279,0.0436953539305117,0,0.229281839270632,0,0,"LU3-33","ABMI"
"3-0-CA34B",250,0,0,0,0.99999999999996,0,0,0,0,0,"LU3-34","ABMI"
"3-0-CA35B",250,0,0,0,0.262866667097921,0,0,0.00882619996380992,0,0.728307132938355,"LU3-35","ABMI"
"3-0-CA4B",250,0,0,0.206254420041482,0,0,0,0.754905865163394,0,0.0388397286749074,"LU3-4","ABMI"
"3-0-CA8B",250,0,0,0.045157464225617,0,0,0,0.543544137236838,0.411298373773498,0,"LU3-8","ABMI"
"3-2F2-CA4B",250,0,0,0,0,0.183504127534219,0,0.132982697729761,0.568940088401552,0.114573086335538,"LU3-52","ABMI"
"LU2-03",500,0,0,0.00624981790637139,0,0,0,0.289260932532353,0.338752897518788,0.365736356433908,"LU2-03","ACME"
"LU2-05",500,0,0,0.106758756731784,0.127401313384953,0,0,0.179904353071156,0.298058168290556,0.287877402523798,"LU2-05","ACME"
"LU2-100",500,0,0,0.167508950605473,0.000457052770230885,0.149046782522299,0,0.175914775537432,0,0.507072445169975,"LU2-100","ACME"
"LU2-101",500,0.0242512995756,0,0.111272148425491,0,0,0,0.345741284837472,0.415088789104971,0.103646472973835,"LU2-101","ACME"
"LU2-106",500,0.0507594630852555,0,0.224731470990893,0,0.20816516424247,0.110791461947784,0.140288935356155,0,0.265263518595264,"LU2-106","ACME"
"LU2-110",500,0,0,0.158712651335361,0,0,0,0.204081084882347,0.231866063737929,0.405340202120919,"LU2-110","ACME"
"LU2-119",500,0,0,0.114262446529956,0.248325668986956,0.103461484115104,0,0.174504921400522,0.190585500170466,0.168859934113918,"LU2-119","ACME"
"LU2-123",500,0,0,0.0929490639409162,0,0,0,0,0,0.907050939855041,"LU2-123","ACME"
"LU2-13",500,0,0,0.117772923815514,0,0,0,0.470032774056791,0,0.412194307836233,"LU2-13","ACME"
"LU2-137",500,0,0,0.121933703953909,0,0.0874694681251036,0,0.162411440374653,0.497298115350776,0.130887271424152,"LU2-137","ACME"
"LU2-143",500,0,0,0,0,0,0,0.0566105681343723,0.574936270944181,0.368453160921487,"LU2-143","ACME"
"LU2-15",500,0,0,0.119163117850069,0,0,0,0.0942824317841196,0.612385689575198,0.174168763228492,"LU2-15","ACME"
"LU2-153",500,0,0,0.100420545780418,0,0.254309621495936,0,0,0.440159329144552,0.20511050991268,"LU2-153","ACME"
"LU2-155",500,0,0,0,0.0395521534492284,0,0,0,0.434071980139742,0.526375866410904,"LU2-155","ACME"
"LU2-17",500,0,0,0.107341251528957,0.0642437629092221,0,0,0.00196238825959355,0.28040366515603,0.546048930903994,"LU2-17","ACME"
