"","model_name","AIC","logLik"
"1","osm_industrial_250",2584.3728952314,-1289.1864476157
"2","osm_industrial_500",2567.02974681426,-1280.51487340713
"3","osm_industrial_750",2538.00656100264,-1266.00328050132
"4","osm_industrial_1000",2498.30806069187,-1246.15403034594
"5","osm_industrial_1250",2470.86571518287,-1232.43285759144
"6","osm_industrial_1500",2458.8963130216,-1226.4481565108
"7","osm_industrial_1750",2462.80815467862,-1228.40407733931
"8","osm_industrial_2000",2479.67720771707,-1236.83860385854
"9","osm_industrial_2250",2495.21229744032,-1244.60614872016
"10","osm_industrial_2500",2508.49733817847,-1251.24866908924
"11","osm_industrial_2750",2514.97149559059,-1254.48574779529
"12","osm_industrial_3000",2517.05817642915,-1255.52908821458
"13","osm_industrial_3250",2517.90239306954,-1255.95119653477
"14","osm_industrial_3500",2523.25520391178,-1258.62760195589
"15","osm_industrial_3750",2527.72605118363,-1260.86302559182
"16","osm_industrial_4000",2527.11967404297,-1260.55983702148
"17","osm_industrial_4250",2529.12880706173,-1261.56440353087
"18","osm_industrial_4500",2532.91163285436,-1263.45581642718
"19","osm_industrial_4750",2535.26966085553,-1264.63483042777
"20","osm_industrial_5000",2537.20799151757,-1265.60399575878
