"","model_name","AIC","logLik"
"1","linear_250",2567.46692737149,-1280.73346368574
"2","linear_500",2539.40746014583,-1266.70373007291
"3","linear_750",2513.28491255633,-1253.64245627817
"4","linear_1000",2499.37091839147,-1246.68545919573
"5","linear_1250",2499.52817275378,-1246.76408637689
"6","linear_1500",2510.93930263659,-1252.46965131829
"7","linear_1750",2503.29380607314,-1248.64690303657
"8","linear_2000",2499.42698419397,-1246.71349209698
"9","linear_2250",2501.4587668152,-1247.7293834076
"10","linear_2500",2499.61227993878,-1246.80613996939
"11","linear_2750",2504.750585743,-1249.3752928715
"12","linear_3000",2508.32280949377,-1251.16140474688
"13","linear_3250",2506.66229342134,-1250.33114671067
"14","linear_3500",2505.71306402831,-1249.85653201416
"15","linear_3750",2508.43570075181,-1251.21785037591
"16","linear_4000",2511.71069829194,-1252.85534914597
"17","linear_4250",2512.64817746589,-1253.32408873295
"18","linear_4500",2513.79669298763,-1253.89834649381
"19","linear_4750",2517.46636848315,-1255.73318424158
"20","linear_5000",2522.71287922506,-1258.35643961253
