"","model_name","AIC","logLik"
"1","roads_250",2548.14996726705,-1271.07498363352
"2","roads_500",2565.13178774447,-1279.56589387224
"3","roads_750",2529.67034303652,-1261.83517151826
"4","roads_1000",2467.97634126757,-1230.98817063378
"5","roads_1250",2436.66908996832,-1215.33454498416
"6","roads_1500",2435.71066749841,-1214.8553337492
"7","roads_1750",2435.45753839921,-1214.72876919961
"8","roads_2000",2430.25896166269,-1212.12948083135
"9","roads_2250",2440.01701864383,-1217.00850932191
"10","roads_2500",2445.74016279959,-1219.87008139979
"11","roads_2750",2452.90878418483,-1223.45439209241
"12","roads_3000",2455.57457046939,-1224.7872852347
"13","roads_3250",2465.77451611295,-1229.88725805648
"14","roads_3500",2470.78035355317,-1232.39017677659
"15","roads_3750",2476.32024835063,-1235.16012417532
"16","roads_4000",2481.09035791586,-1237.54517895793
"17","roads_4250",2486.82277285808,-1240.41138642904
"18","roads_4500",2490.39337396923,-1242.19668698462
"19","roads_4750",2489.79644113245,-1241.89822056623
"20","roads_5000",2492.48157167348,-1243.24078583674
