"","model_name","AIC","logLik"
"1","shrub_250",2591.60462510469,-1292.80231255235
"2","shrub_500",2587.23486140953,-1290.61743070476
"3","shrub_750",2581.88239160823,-1287.94119580412
"4","shrub_1000",2577.47665984406,-1285.73832992203
"5","shrub_1250",2582.92314532568,-1288.46157266284
"6","shrub_1500",2584.39914633,-1289.199573165
"7","shrub_1750",2584.31898215831,-1289.15949107916
"8","shrub_2000",2583.03697036383,-1288.51848518191
"9","shrub_2250",2583.5815715793,-1288.79078578965
"10","shrub_2500",2584.04237112087,-1289.02118556044
"11","shrub_2750",2586.33499899114,-1290.16749949557
"12","shrub_3000",2587.59148540196,-1290.79574270098
"13","shrub_3250",2586.75336119986,-1290.37668059993
"14","shrub_3500",2584.02920987063,-1289.01460493532
"15","shrub_3750",2581.412736519,-1287.7063682595
"16","shrub_4000",2579.36576521827,-1286.68288260913
"17","shrub_4250",2579.75291473109,-1286.87645736555
"18","shrub_4500",2580.18044415731,-1287.09022207865
"19","shrub_4750",2580.37288347636,-1287.18644173818
"20","shrub_5000",2581.4755257628,-1287.7377628814
