"","model_name","AIC","logLik"
"1","wells_250",2579.81097706816,-1286.90548853408
"2","wells_500",2592.01479170178,-1293.00739585089
"3","wells_750",2590.91794030061,-1292.45897015031
"4","wells_1000",2592.26301965908,-1293.13150982954
"5","wells_1250",2580.6352473654,-1287.3176236827
"6","wells_1500",2572.7872384463,-1283.39361922315
"7","wells_1750",2578.62890267034,-1286.31445133517
"8","wells_2000",2574.2332371289,-1284.11661856445
"9","wells_2250",2569.91717330348,-1281.95858665174
"10","wells_2500",2566.1432051855,-1280.07160259275
"11","wells_2750",2566.03792614242,-1280.01896307121
"12","wells_3000",2561.28621631603,-1277.64310815801
"13","wells_3250",2561.37832822599,-1277.68916411299
"14","wells_3500",2559.00444180895,-1276.50222090448
"15","wells_3750",2555.45977544053,-1274.72988772026
"16","wells_4000",2551.67335814391,-1272.83667907195
"17","wells_4250",2551.45808726565,-1272.72904363283
"18","wells_4500",2551.21273564511,-1272.60636782256
"19","wells_4750",2553.96675432043,-1273.98337716021
"20","wells_5000",2553.2205484138,-1273.6102742069
