array,camera,site,treatment,date
CL,1,CL_1,post,2017-10-24
CL,1,CL_1,post,2017-10-25
CL,1,CL_1,post,2017-10-26
CL,1,CL_1,post,2017-10-27
CL,1,CL_1,post,2017-10-28
CL,1,CL_1,post,2017-10-29
CL,1,CL_1,post,2017-10-30
CL,1,CL_1,post,2017-10-31
CL,1,CL_1,post,2017-11-01
CL,1,CL_1,post,2017-11-02
CL,1,CL_1,post,2017-11-03
CL,1,CL_1,post,2017-11-04
CL,1,CL_1,post,2017-11-05
CL,1,CL_1,post,2017-11-06
CL,1,CL_1,post,2017-11-07
CL,1,CL_1,post,2017-11-08
CL,1,CL_1,post,2017-11-09
CL,1,CL_1,post,2017-11-10
CL,1,CL_1,post,2017-11-11
CL,1,CL_1,post,2017-11-12
CL,1,CL_1,post,2017-11-13
CL,1,CL_1,post,2017-11-14
CL,1,CL_1,post,2017-11-15
CL,1,CL_1,post,2017-11-16
CL,1,CL_1,post,2017-11-17
CL,1,CL_1,post,2017-11-18
CL,1,CL_1,post,2017-11-19
CL,1,CL_1,post,2017-11-20
CL,1,CL_1,post,2017-11-21
CL,1,CL_1,post,2017-11-22
CL,1,CL_1,post,2017-11-23
CL,1,CL_1,post,2017-11-24
CL,1,CL_1,post,2017-11-25
CL,1,CL_1,post,2017-11-26
CL,1,CL_1,post,2017-11-27
CL,1,CL_1,post,2017-11-28
CL,1,CL_1,post,2017-11-29
CL,1,CL_1,post,2017-11-30
CL,1,CL_1,post,2017-12-01
CL,1,CL_1,post,2017-12-02
CL,1,CL_1,post,2017-12-03
CL,1,CL_1,post,2017-12-04
CL,1,CL_1,post,2017-12-05
CL,1,CL_1,post,2017-12-06
CL,1,CL_1,post,2017-12-07
CL,1,CL_1,post,2017-12-08
CL,1,CL_1,post,2017-12-09
CL,1,CL_1,post,2017-12-10
CL,1,CL_1,post,2017-12-11
CL,1,CL_1,post,2017-12-12
CL,1,CL_1,post,2017-12-13
CL,1,CL_1,post,2017-12-14
CL,1,CL_1,post,2017-12-15
CL,1,CL_1,post,2017-12-16
CL,1,CL_1,post,2017-12-17
CL,1,CL_1,post,2017-12-18
CL,1,CL_1,post,2017-12-19
CL,1,CL_1,post,2017-12-20
CL,1,CL_1,post,2017-12-21
CL,1,CL_1,post,2017-12-22
CL,1,CL_1,post,2017-12-23
CL,1,CL_1,post,2017-12-24
CL,1,CL_1,post,2017-12-25
CL,1,CL_1,post,2017-12-26
CL,1,CL_1,post,2017-12-27
CL,1,CL_1,post,2017-12-28
CL,1,CL_1,post,2017-12-29
CL,1,CL_1,post,2017-12-30
