array,camera,site,date
LU3,14,LU3_14,2021-07-08
LU3,14,LU3_14,2021-07-09
LU3,14,LU3_14,2021-07-10
LU3,14,LU3_14,2021-07-11
LU3,14,LU3_14,2021-07-12
LU3,14,LU3_14,2021-07-13
LU3,14,LU3_14,2021-07-14
LU3,14,LU3_14,2021-07-15
LU3,14,LU3_14,2021-07-16
LU3,14,LU3_14,2021-07-17
LU3,14,LU3_14,2021-07-18
LU3,14,LU3_14,2021-07-19
LU3,14,LU3_14,2021-07-20
LU3,14,LU3_14,2021-07-21
LU3,14,LU3_14,2021-07-22
LU3,14,LU3_14,2021-07-23
LU3,14,LU3_14,2021-07-24
LU3,14,LU3_14,2021-07-25
LU3,14,LU3_14,2021-07-26
LU3,14,LU3_14,2021-07-27
LU3,14,LU3_14,2021-07-28
LU3,14,LU3_14,2021-07-29
LU3,14,LU3_14,2021-07-30
LU3,14,LU3_14,2021-07-31
LU3,14,LU3_14,2021-08-01
LU3,14,LU3_14,2021-08-02
LU3,14,LU3_14,2021-08-03
LU3,14,LU3_14,2021-08-04
LU3,14,LU3_14,2021-08-05
LU3,14,LU3_14,2021-08-06
LU3,14,LU3_14,2021-08-07
LU3,14,LU3_14,2021-08-08
LU3,14,LU3_14,2021-08-09
LU3,14,LU3_14,2021-08-10
LU3,14,LU3_14,2021-08-11
LU3,14,LU3_14,2021-08-12
LU3,14,LU3_14,2021-08-13
LU3,14,LU3_14,2021-08-14
LU3,14,LU3_14,2021-08-15
LU3,14,LU3_14,2021-08-16
LU3,14,LU3_14,2021-08-17
LU3,14,LU3_14,2021-08-18
LU3,14,LU3_14,2021-08-19
LU3,14,LU3_14,2021-08-20
LU3,14,LU3_14,2021-08-21
LU3,14,LU3_14,2021-08-22
LU3,14,LU3_14,2021-08-23
LU3,14,LU3_14,2021-08-24
LU3,14,LU3_14,2021-08-25
LU3,14,LU3_14,2021-08-26
LU3,14,LU3_14,2021-08-27
LU3,14,LU3_14,2021-08-28
LU3,14,LU3_14,2021-08-29
LU3,14,LU3_14,2021-08-30
LU3,14,LU3_14,2021-08-31
LU3,14,LU3_14,2021-09-01
LU3,14,LU3_14,2021-09-02
LU3,14,LU3_14,2021-09-03
LU3,14,LU3_14,2021-09-04
LU3,14,LU3_14,2021-09-05
LU3,14,LU3_14,2021-09-06
LU3,14,LU3_14,2021-09-07
LU3,14,LU3_14,2021-09-08
LU3,14,LU3_14,2021-09-09
LU3,14,LU3_14,2021-09-10
LU3,14,LU3_14,2021-09-11
LU3,14,LU3_14,2021-09-12
LU3,14,LU3_14,2021-09-13
LU3,14,LU3_14,2021-09-14
LU3,14,LU3_14,2021-09-15
LU3,14,LU3_14,2021-09-16
LU3,14,LU3_14,2021-09-17
LU3,14,LU3_14,2021-09-18
LU3,14,LU3_14,2021-09-19
LU3,14,LU3_14,2021-09-20
LU3,14,LU3_14,2021-09-21
LU3,14,LU3_14,2021-09-22
LU3,14,LU3_14,2021-09-23
LU3,14,LU3_14,2021-09-24
LU3,14,LU3_14,2021-09-25
LU3,14,LU3_14,2021-09-26
LU3,14,LU3_14,2021-09-27
LU3,14,LU3_14,2021-09-28
LU3,14,LU3_14,2021-09-29
LU3,14,LU3_14,2021-09-30
LU3,14,LU3_14,2021-10-01
LU3,14,LU3_14,2021-10-02
LU3,14,LU3_14,2021-10-03
LU3,14,LU3_14,2021-10-04
LU3,14,LU3_14,2021-10-05
LU3,14,LU3_14,2021-10-06
LU3,14,LU3_14,2021-10-07
LU3,14,LU3_14,2021-10-08
LU3,14,LU3_14,2021-10-09
LU3,14,LU3_14,2021-10-10
LU3,14,LU3_14,2021-10-11
LU3,14,LU3_14,2021-10-12
LU3,14,LU3_14,2021-10-13
LU3,14,LU3_14,2021-10-14
LU3,14,LU3_14,2021-10-15
LU3,14,LU3_14,2021-10-16
LU3,14,LU3_14,2021-10-17
LU3,14,LU3_14,2021-10-18
LU3,14,LU3_14,2021-10-19
LU3,14,LU3_14,2021-10-20
LU3,14,LU3_14,2021-10-21
LU3,14,LU3_14,2021-10-22
LU3,14,LU3_14,2021-10-23
LU3,14,LU3_14,2021-10-24
LU3,14,LU3_14,2021-10-25
LU3,14,LU3_14,2021-10-26
LU3,14,LU3_14,2021-10-27
LU3,14,LU3_14,2021-10-28
LU3,14,LU3_14,2021-10-29
LU3,14,LU3_14,2021-10-30
LU3,14,LU3_14,2021-10-31
LU3,14,LU3_14,2021-11-01
LU3,14,LU3_14,2021-11-02
LU3,14,LU3_14,2021-11-03
LU3,14,LU3_14,2021-11-04
LU3,14,LU3_14,2021-11-05
LU3,14,LU3_14,2021-11-06
LU3,14,LU3_14,2021-11-07
LU3,14,LU3_14,2021-11-08
LU3,14,LU3_14,2021-11-09
LU3,14,LU3_14,2021-11-10
LU3,14,LU3_14,2021-11-11
LU3,14,LU3_14,2021-11-12
LU3,14,LU3_14,2021-11-13
LU3,14,LU3_14,2021-11-14
LU3,14,LU3_14,2021-11-15
LU3,14,LU3_14,2021-11-16
LU3,14,LU3_14,2021-11-17
LU3,14,LU3_14,2021-11-18
LU3,14,LU3_14,2021-11-19
LU3,14,LU3_14,2021-11-20
LU3,14,LU3_14,2021-11-21
LU3,14,LU3_14,2021-11-22
LU3,14,LU3_14,2021-11-23
LU3,14,LU3_14,2021-11-24
LU3,14,LU3_14,2021-11-25
LU3,14,LU3_14,2021-11-26
LU3,14,LU3_14,2021-11-27
LU3,14,LU3_14,2021-11-28
LU3,14,LU3_14,2021-11-29
LU3,14,LU3_14,2021-11-30
LU3,14,LU3_14,2021-12-01
LU3,14,LU3_14,2021-12-02
LU3,14,LU3_14,2021-12-03
LU3,14,LU3_14,2021-12-04
LU3,14,LU3_14,2021-12-05
LU3,14,LU3_14,2021-12-06
LU3,14,LU3_14,2021-12-07
LU3,14,LU3_14,2021-12-08
LU3,14,LU3_14,2021-12-09
LU3,14,LU3_14,2021-12-10
LU3,14,LU3_14,2021-12-11
LU3,14,LU3_14,2021-12-12
