array,camera,site,date
WF,1,WF_1,2018-12-04
WF,1,WF_1,2018-12-05
WF,1,WF_1,2018-12-06
WF,1,WF_1,2018-12-07
WF,1,WF_1,2018-12-08
WF,1,WF_1,2018-12-09
WF,1,WF_1,2018-12-10
WF,1,WF_1,2018-12-11
WF,1,WF_1,2018-12-12
WF,1,WF_1,2018-12-13
WF,1,WF_1,2018-12-14
WF,1,WF_1,2018-12-15
WF,1,WF_1,2018-12-16
WF,1,WF_1,2018-12-17
WF,1,WF_1,2018-12-18
WF,1,WF_1,2018-12-19
WF,1,WF_1,2018-12-20
WF,1,WF_1,2018-12-21
WF,1,WF_1,2018-12-22
WF,1,WF_1,2018-12-23
WF,1,WF_1,2018-12-24
WF,1,WF_1,2018-12-25
WF,1,WF_1,2018-12-26
WF,1,WF_1,2018-12-27
WF,1,WF_1,2018-12-28
WF,1,WF_1,2018-12-29
WF,1,WF_1,2018-12-30
WF,1,WF_1,2018-12-31
WF,1,WF_1,2019-01-01
WF,1,WF_1,2019-01-02
WF,1,WF_1,2019-01-03
WF,1,WF_1,2019-01-04
WF,1,WF_1,2019-01-05
WF,1,WF_1,2019-01-06
WF,1,WF_1,2019-01-07
WF,1,WF_1,2019-01-08
WF,1,WF_1,2019-01-09
WF,1,WF_1,2019-01-10
WF,1,WF_1,2019-01-11
WF,1,WF_1,2019-01-12
WF,1,WF_1,2019-01-13
WF,1,WF_1,2019-01-14
WF,1,WF_1,2019-01-15
WF,1,WF_1,2019-01-16
WF,1,WF_1,2019-01-17
WF,1,WF_1,2019-01-18
WF,1,WF_1,2019-01-19
WF,1,WF_1,2019-01-20
WF,1,WF_1,2019-01-21
WF,1,WF_1,2019-01-22
WF,1,WF_1,2019-01-23
WF,1,WF_1,2019-01-24
WF,1,WF_1,2019-01-25
WF,1,WF_1,2019-01-26
WF,1,WF_1,2019-01-27
WF,1,WF_1,2019-01-28
WF,1,WF_1,2019-01-29
WF,1,WF_1,2019-01-30
WF,1,WF_1,2019-01-31
WF,1,WF_1,2019-02-01
WF,1,WF_1,2019-02-02
WF,1,WF_1,2019-02-03
WF,1,WF_1,2019-02-04
WF,1,WF_1,2019-02-05
WF,1,WF_1,2019-02-06
WF,1,WF_1,2019-02-07
WF,1,WF_1,2019-02-08
WF,1,WF_1,2019-02-09
WF,1,WF_1,2019-02-10
WF,1,WF_1,2019-02-11
WF,1,WF_1,2019-02-12
WF,1,WF_1,2019-02-13
WF,1,WF_1,2019-02-14
WF,1,WF_1,2019-02-15
WF,1,WF_1,2019-02-16
WF,1,WF_1,2019-02-17
WF,1,WF_1,2019-02-18
WF,1,WF_1,2019-02-19
WF,1,WF_1,2019-02-20
WF,1,WF_1,2019-02-21
WF,1,WF_1,2019-02-22
WF,1,WF_1,2019-02-23
WF,1,WF_1,2019-02-24
WF,1,WF_1,2019-02-25
WF,1,WF_1,2019-02-26
WF,1,WF_1,2019-02-27
WF,1,WF_1,2019-02-28
WF,1,WF_1,2019-03-01
WF,1,WF_1,2019-03-02
WF,1,WF_1,2019-03-03
WF,1,WF_1,2019-03-04
WF,1,WF_1,2019-03-05
WF,1,WF_1,2019-03-06
WF,1,WF_1,2019-03-07
WF,1,WF_1,2019-03-08
WF,1,WF_1,2019-03-09
WF,1,WF_1,2019-03-10
WF,1,WF_1,2019-03-11
WF,1,WF_1,2019-03-12
WF,1,WF_1,2019-03-13
WF,1,WF_1,2019-03-14
WF,1,WF_1,2019-03-15
WF,1,WF_1,2019-03-16
WF,1,WF_1,2019-03-17
WF,1,WF_1,2019-03-18
WF,1,WF_1,2019-03-19
WF,1,WF_1,2019-03-20
WF,1,WF_1,2019-03-21
WF,1,WF_1,2019-03-22
WF,1,WF_1,2019-03-23
WF,1,WF_1,2019-03-24
WF,1,WF_1,2019-03-25
WF,1,WF_1,2019-03-26
WF,1,WF_1,2019-03-27
WF,1,WF_1,2019-03-28
WF,1,WF_1,2019-03-29
WF,1,WF_1,2019-03-30
WF,1,WF_1,2019-03-31
WF,1,WF_1,2019-04-01
WF,1,WF_1,2019-04-02
WF,1,WF_1,2019-04-03
WF,1,WF_1,2019-04-04
WF,1,WF_1,2019-04-05
WF,1,WF_1,2019-04-06
WF,1,WF_1,2019-04-07
WF,1,WF_1,2019-04-08
WF,1,WF_1,2019-04-09
WF,1,WF_1,2019-04-10
WF,1,WF_1,2019-04-11
WF,1,WF_1,2019-04-12
WF,1,WF_1,2019-04-13
WF,1,WF_1,2019-04-14
WF,1,WF_1,2019-04-15
WF,1,WF_1,2019-04-16
WF,1,WF_1,2019-04-17
WF,1,WF_1,2019-04-18
WF,1,WF_1,2019-04-19
WF,1,WF_1,2019-04-20
WF,1,WF_1,2019-04-21
WF,1,WF_1,2019-04-22
WF,1,WF_1,2019-04-23
WF,1,WF_1,2019-04-24
WF,1,WF_1,2019-04-25
WF,1,WF_1,2019-04-26
WF,1,WF_1,2019-04-27
WF,1,WF_1,2019-04-28
WF,1,WF_1,2019-04-29
WF,1,WF_1,2019-04-30
WF,1,WF_1,2019-05-01
WF,1,WF_1,2019-05-02
WF,1,WF_1,2019-05-03
WF,1,WF_1,2019-05-04
WF,1,WF_1,2019-05-05
WF,1,WF_1,2019-05-06
WF,1,WF_1,2019-05-07
WF,1,WF_1,2019-05-08
WF,1,WF_1,2019-05-09
WF,1,WF_1,2019-05-10
WF,1,WF_1,2019-05-11
WF,1,WF_1,2019-05-12
WF,1,WF_1,2019-05-13
WF,1,WF_1,2019-05-14
WF,1,WF_1,2019-05-15
WF,1,WF_1,2019-05-16
WF,1,WF_1,2019-05-17
WF,1,WF_1,2019-05-18
WF,1,WF_1,2019-05-19
WF,1,WF_1,2019-05-20
WF,1,WF_1,2019-05-21
WF,1,WF_1,2019-05-22
WF,1,WF_1,2019-05-23
WF,1,WF_1,2019-05-24
WF,1,WF_1,2019-05-25
WF,1,WF_1,2019-05-26
WF,1,WF_1,2019-05-27
WF,1,WF_1,2019-05-28
WF,1,WF_1,2019-05-29
WF,1,WF_1,2019-05-30
WF,1,WF_1,2019-05-31
WF,1,WF_1,2019-06-01
WF,1,WF_1,2019-06-02
WF,1,WF_1,2019-06-03
WF,1,WF_1,2019-06-04
WF,1,WF_1,2019-06-05
WF,1,WF_1,2019-06-06
WF,1,WF_1,2019-06-07
WF,1,WF_1,2019-06-08
WF,1,WF_1,2019-06-09
WF,1,WF_1,2019-06-10
WF,1,WF_1,2019-06-11
