array,site,months_active,black_bear,caribou,cougar,coyote,fisher,grey_wolf,lynx,moose,red_fox,red_squirrel,snowshoe_hare,white_tailed_deer,wolverine,absent_black_bear,absent_caribou,absent_cougar,absent_coyote,absent_fisher,absent_grey_wolf,absent_lynx,absent_moose,absent_red_fox,absent_white_tailed_deer,absent_wolverine,absent_snowshoe_hare,absent_red_squirrel
CL,CL_1,11,1,0,0,4,0,1,5,1,0,4,8,3,0,6,11,11,7,11,10,6,10,11,8,11,3,7
CL,CL_10,12,0,0,0,0,0,0,3,0,0,2,4,10,0,8,12,12,12,12,12,9,12,12,2,12,8,10
CL,CL_12,13,2,0,0,1,0,1,1,1,0,0,8,9,0,7,13,13,12,13,12,12,12,13,4,13,5,13
CL,CL_13,13,2,0,0,0,0,2,1,1,0,0,2,13,0,7,13,13,13,13,11,12,12,13,0,13,11,13
CL,CL_14,12,0,0,0,7,0,2,2,0,0,0,4,6,0,8,12,12,5,12,10,10,12,12,6,12,8,12
CL,CL_15,13,1,0,0,2,1,0,0,0,0,2,9,9,0,8,13,13,11,12,13,13,13,13,4,13,4,11
CL,CL_16,13,1,0,0,5,1,1,3,0,0,2,13,6,0,8,13,13,8,12,12,10,13,13,7,13,0,11
CL,CL_17,13,1,0,0,3,0,2,2,1,0,0,5,13,0,8,13,13,10,13,11,11,12,13,0,13,8,13
CL,CL_18,13,0,0,0,4,1,2,0,0,1,0,0,13,0,9,13,13,9,12,11,13,13,12,0,13,13,13
CL,CL_19,12,0,2,0,3,2,0,0,0,0,0,2,10,0,8,10,12,9,10,12,12,12,12,2,12,10,12
CL,CL_2,13,1,0,0,2,0,0,2,0,0,3,11,6,0,8,13,13,11,13,13,11,13,13,7,13,2,10
CL,CL_20,13,3,0,0,8,0,1,4,0,0,0,2,9,0,6,13,13,5,13,12,9,13,13,4,13,11,13
CL,CL_21,13,1,0,0,7,1,1,2,0,0,3,11,10,0,8,13,13,6,12,12,11,13,13,3,13,2,10
CL,CL_22,13,0,0,0,2,3,0,1,0,0,1,6,5,0,9,13,13,11,10,13,12,13,13,8,13,7,12
CL,CL_23,13,2,0,0,1,0,0,4,0,0,0,3,7,0,7,13,13,12,13,13,9,13,13,6,13,10,13
CL,CL_24,13,3,0,0,4,1,3,1,0,0,0,10,7,0,6,13,13,9,12,10,12,13,13,6,13,3,13
CL,CL_25,13,1,2,0,4,0,0,5,1,0,2,9,6,0,8,11,13,9,13,13,8,12,13,7,13,4,11
CL,CL_26,13,3,0,0,9,0,2,5,0,0,5,9,11,0,6,13,13,4,13,11,8,13,13,2,13,4,8
CL,CL_27,13,5,0,0,4,1,1,1,0,0,0,2,9,0,4,13,13,9,12,12,12,13,13,4,13,11,13
CL,CL_28,12,0,0,0,4,2,1,3,0,0,0,3,12,0,8,12,12,8,10,11,9,12,12,0,12,9,12
CL,CL_29,13,1,0,0,7,1,3,4,0,0,2,8,10,0,8,13,13,6,12,10,9,13,13,3,13,5,11
CL,CL_3,13,5,1,0,1,1,2,1,0,0,0,5,7,0,4,12,13,12,12,11,12,13,13,6,13,8,13
CL,CL_30,13,1,0,0,0,1,4,5,1,0,0,7,13,0,8,13,13,13,12,9,8,12,13,0,13,6,13
CL,CL_31,13,1,0,0,4,1,2,4,1,0,1,9,8,0,8,13,13,9,12,11,9,12,13,5,13,4,12
CL,CL_32,13,2,1,0,3,1,2,5,0,1,0,5,9,0,7,12,13,10,12,11,8,13,12,4,13,8,13
CL,CL_34,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
CL,CL_35,13,1,0,0,6,0,0,10,0,0,0,7,8,0,8,13,13,7,13,13,3,13,13,5,13,6,13
CL,CL_36,13,1,0,0,1,3,0,5,1,0,2,7,9,0,8,13,13,12,10,13,8,12,13,4,13,6,11
CL,CL_37,13,2,0,0,6,0,9,7,1,0,2,4,10,0,7,13,13,7,13,4,6,12,13,3,13,9,11
CL,CL_38,13,0,0,0,5,0,2,3,0,0,0,4,7,0,9,13,13,8,13,11,10,13,13,6,13,9,13
CL,CL_39,13,3,0,1,2,0,3,3,2,0,0,10,12,0,6,13,12,11,13,10,10,11,13,1,13,3,13
CL,CL_4,12,3,1,0,3,1,1,5,0,0,2,8,5,0,5,11,12,9,11,11,7,12,12,7,12,4,10
CL,CL_40,13,1,0,0,6,1,3,3,0,0,1,6,9,0,8,13,13,7,12,10,10,13,13,4,13,7,12
CL,CL_41,13,0,0,0,1,1,1,1,0,0,0,3,12,0,9,13,13,12,12,12,12,13,13,1,13,10,13
CL,CL_42,13,2,0,1,2,3,3,0,0,2,0,0,10,0,7,13,12,11,10,10,13,13,11,3,13,13,13
CL,CL_43,13,2,0,0,2,0,1,3,0,0,0,5,10,0,7,13,13,11,13,12,10,13,13,3,13,8,13
CL,CL_44,12,4,0,0,2,1,1,1,0,2,0,7,9,0,4,12,12,10,11,11,11,12,10,3,12,5,12
CL,CL_45,13,4,0,0,0,0,3,2,1,0,0,5,13,0,5,13,13,13,13,10,11,12,13,0,13,8,13
CL,CL_46,13,4,0,0,2,2,0,0,0,0,0,4,13,0,5,13,13,11,11,13,13,13,13,0,13,9,13
CL,CL_47,13,5,0,1,4,2,2,3,1,0,1,9,13,0,4,13,12,9,11,11,10,12,13,0,13,4,12
CL,CL_48,12,3,0,0,1,1,0,1,0,0,0,3,8,0,5,12,12,11,11,12,11,12,12,4,12,9,12
CL,CL_49,10,1,0,0,0,1,0,1,0,0,0,2,6,0,5,10,10,10,9,10,9,10,10,4,10,8,10
CL,CL_5,13,2,0,0,0,0,0,1,0,0,0,6,9,0,7,13,13,13,13,13,12,13,13,4,13,7,13
CL,CL_50,13,1,0,0,3,0,1,6,0,0,0,11,9,0,8,13,13,10,13,12,7,13,13,4,13,2,13
CL,CL_51,13,4,0,0,0,2,10,0,0,3,0,1,13,0,5,13,13,13,11,3,13,13,10,0,13,12,13
CL,CL_52,13,6,0,0,1,1,4,9,0,0,0,6,11,0,3,13,13,12,12,9,4,13,13,2,13,7,13
