model_name,scale,df,logLik,AICc,delta,delta_subsetted,weight_subsetted,intercept,fire_0_15,lc_broadleaf,lc_coniferous,lc_mixedwood,lc_shrubs,lc_wetland,lc_wetland_treed,pipe_trans,seismic,wells_inactive,harvest_0_15,osm_industrial,wells_active,nonanthro_ed,landscape_shei,landscape_mesh,cfi_site,cfi_site:nonanthro_ed
m_forest_fire_100,100,8,-4694.840600815629,9405.710535507811,0,0,0.71258034440391,-1.56988631689812,0.23832581545856926,-0.4704491230049707,-0.015128002093869539,0.17173150383573021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_forest_fire_250,250,8,-4695.226481646857,9406.482297170267,0.7717616624559014,0,0.722388238489436,-1.5718812375148887,0.2449906100441674,-0.4766077231727131,-0.019152845733373877,0.19496225995832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_forest_fire_50,50,8,-4696.135408013524,9408.300149903602,2.5896143957907043,0,0.660737038410967,-1.5708069169965813,0.230670734582139,-0.41666004164781206,0.02620906228510045,0.16726285737351962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_forest_100,100,7,-4697.320171186583,9408.663152963798,2.9526174559869105,2.9526174559869105,0.162810010602871,-1.5808885438907239,NA,-0.5102999525564038,-0.02148950811580446,0.15286290679358572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_forest_250,250,7,-4697.738743588179,9409.50029776699,3.7897622591790423,3.018000596723141,0.159742384769651,-1.5834187434027795,NA,-0.523957062154224,-0.02152080008426187,0.17983325680482531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_landcover_fire_100,100,11,-4693.914544383563,9409.882900426319,4.17236491850781,4.17236491850781,0.0884741315668973,-1.5703498051761369,0.3193712545585407,-0.7657364489247034,-0.3193531398460609,0.029637888479654966,-0.2258426703265623,-0.16406816234935567,-0.2667871604832804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_forest_50,50,7,-4698.4570142827515,9410.936839156135,5.226303648323665,2.6366892525329604,0.176798613953927,-1.5815619492224857,NA,-0.45253339974584417,0.016612289924106665,0.14663991598811638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_landcover_fire_250,250,11,-4694.488749627301,9411.031310913795,5.320775405984023,4.549013743528121,0.074295905983796,-1.5724625575120261,0.29302243199994604,-0.6823976329538239,-0.21497632276461173,0.10083088215768275,-0.1653853421405883,-0.08501867821701399,-0.21280550784203087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_landcover_fire_50,50,11,-4694.748059083193,9411.549929825578,5.8393943177670735,3.2497799219763692,0.13012115471848,-1.5722088983614493,0.34117310656826516,-0.8030031349343713,-0.3884780198047264,-0.02287234698843668,-0.3035614773890903,-0.2240122799682334,-0.3383942181228651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_landcover_100,100,10,-4695.846171166362,9411.737176243465,6.0266407356539275,6.0266407356539275,0.0350078492990972,-1.5793960124037087,NA,-0.7986393401212913,-0.3162652817965977,0.019337876589615215,-0.011227316745091646,-0.1353233822634251,-0.3071780314803988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_landcover_250,250,10,-4696.078609873731,9412.202053658202,6.49151815039113,5.7197564879352285,0.041375316236316,-1.5798551034447916,NA,-0.7064116394174066,-0.19804750984501635,0.09865970407130595,0.029527434546488335,-0.044353519989672685,-0.2485376231246162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_forest_fire_500,500,8,-4698.243673612437,9412.516681101428,6.806145593616748,0,0.448434467014955,-1.5704927305185614,0.20778645989250766,-0.4435378552394471,-0.04530675490425602,0.18319493075179843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_forest_500,500,7,-4699.960129218365,9413.943069027362,8.232533519550998,1.4263879259342502,0.219767153339594,-1.5800002600536989,NA,-0.48915248701527825,-0.04319954475159355,0.17506389430977803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_landcover_50,50,10,-4697.2267202105195,9414.49827433178,8.787738823968539,6.1981244281778345,0.0297936034971106,-1.5833234200076112,NA,-0.8619854584761428,-0.4147128602486651,-0.049074463915013695,-0.09535403473453663,-0.2061289728000505,-0.40356836627460496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_landcover_500,500,10,-4697.265128005989,9414.575089922719,8.864554414907616,2.058408821290868,0.160221646025708,-1.5778789365075074,NA,-0.8288408294507066,-0.352283131312836,0.03439095606982138,-0.08692162451001498,-0.08980799222472556,-0.4343464401158498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_landcover_fire_500,500,11,-4696.271459096799,9414.59672985279,8.88619434497923,2.080048751362483,0.158497398388977,-1.5730585578709844,0.24195100724554536,-0.7986071981167944,-0.36136545191066155,0.0339929831531584,-0.2438890396051485,-0.12512166267586294,-0.3936029234661712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_forest_fire_1000,1000,8,-4699.4562104600445,9414.941754796642,9.231219288831198,0,0.426793631354091,-1.5650135052331897,0.23679596562852662,-0.4152672419142773,-0.09983349843433204,0.1910637845628018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_forest_fire_750,750,8,-4699.628489311785,9415.286312500124,9.575776992312967,0,0.348301921058547,-1.5679571199635038,0.2190366105840104,-0.4100366489113407,-0.060146614280615206,0.16978256767941724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_forest_fire_1250,1250,8,-4699.754750633175,9415.538835142903,9.828299635091753,0,0.494140481010049,-1.562386201334171,0.24420586405692413,-0.4028606232225305,-0.11926196295187802,0.19070469741015708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_landcover_fire_750,750,11,-4696.973862241391,9416.001536141974,10.291000634162629,0.7152236418496614,0.243583030471038,-1.572669655050363,0.26584143729395926,-0.8405902175586301,-0.44217342549406974,-0.019596420905917247,-0.3109295276275466,-0.17443931938211016,-0.4829521839719455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_landcover_750,750,10,-4698.088946639126,9416.222727188993,10.51219168118223,0.936414688869263,0.218080082979959,-1.5773795683631406,NA,-0.8778881557573563,-0.4339957328742523,-0.019031131461544195,-0.1364363042603997,-0.13256201011345128,-0.5334748587409723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
m_forest_fire_1500,1500,8,-4700.13818157223,9416.305697021013,10.595161513201674,0,0.511457426340048,-1.5613502173503375,0.2607328533877531,-0.3744642718610979,-0.10245348623837641,0.19095903544110363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
