"","DataFrame","Lowest_Value"
"conf_1000","conf_1000",5057.38611348745
"conf_1250","conf_1250",5065.09862872912
"conf_1500","conf_1500",5101.33022678786
"conf_1750","conf_1750",5132.86273326893
"conf_2000","conf_2000",5133.314675244
"conf_2250","conf_2250",5132.60118382747
"conf_250","conf_250",4670.28662408576
"conf_2500","conf_2500",5141.68085172909
"conf_2750","conf_2750",5150.06070900093
"conf_3000","conf_3000",5147.56496943485
"conf_3250","conf_3250",5136.83451076672
"conf_3500","conf_3500",5136.65604289062
"conf_3750","conf_3750",5140.42222506992
"conf_4000","conf_4000",5149.4001768422
"conf_4250","conf_4250",5155.22603251224
"conf_4500","conf_4500",5163.77568579907
"conf_4750","conf_4750",5170.54896240182
"conf_500","conf_500",4773.26078671232
"conf_5000","conf_5000",5174.34742392029
"conf_750","conf_750",4913.09441394074
