"","DataFrame","Lowest_Value"
"dist_1000","dist_1000","5047.09820168367"
"dist_1250","dist_1250","5044.33250904361"
"dist_1500","dist_1500","5046.53985365716"
"dist_1750","dist_1750","5015.56064863148"
"dist_2000","dist_2000","4986.8622916293"
"dist_2250","dist_2250","4992.60548985715"
"dist_250","dist_250","5243.96232895451"
"dist_2500","dist_2500","5002.86172606993"
"dist_2750","dist_2750","5006.19607912291"
"dist_3000","dist_3000","5011.19852998075"
"dist_3250","dist_3250","5013.32531072117"
"dist_3500","dist_3500","5017.00089205436"
"dist_3750","dist_3750","5021.78547405999"
"dist_4000","dist_4000","5032.17477993736"
"dist_4250","dist_4250","5027.28921580922"
"dist_4500","dist_4500","5029.66276201893"
"dist_4750","dist_4750","5030.11334619458"
"dist_500","dist_500","5172.7323308305"
"dist_5000","dist_5000","5038.10923199886"
"dist_750","dist_750","5094.65220032549"
"dist_dataframes","dist_dataframes",NA
