"","site","buffer_dist","wells_active","wells_aband"
"1","LU2_3",250,NA,0.020291215486936
"2","LU2_5",250,NA,0
"3","LU2_100",250,NA,0
"4","LU2_101",250,NA,0
"5","LU2_106",250,NA,0
"6","LU2_110",250,NA,0
"7","LU2_119",250,NA,0
"8","LU2_123",250,NA,0.00682772633201706
"9","LU2_13",250,NA,0
"10","LU2_137",250,NA,0
"11","LU2_143",250,NA,0
"12","LU2_15",250,NA,0
"13","LU2_153",250,NA,0
"14","LU2_155",250,NA,0
"15","LU2_17",250,NA,0
"16","LU2_18",250,NA,0
"17","LU2_20",250,NA,0.0199994499596537
"18","LU2_21",250,NA,0
"19","LU2_24",250,NA,0
"20","LU2_25",250,NA,0
"21","LU2_26",250,NA,0
"22","LU2_27",250,NA,0.00061249015376727
"23","LU2_29",250,NA,0
"24","LU2_30",250,NA,0
"25","LU2_31",250,NA,0
"26","LU2_32",250,NA,0
"27","LU2_33",250,NA,0
"28","LU2_34",250,NA,0
"29","LU2_36",250,NA,0
"30","LU2_38",250,NA,0
"31","LU2_39",250,NA,0
"32","LU2_40",250,NA,0
"33","LU2_42",250,NA,0
"34","LU2_44",250,NA,0
"35","LU2_46",250,NA,0
"36","LU2_47",250,NA,0
"37","LU2_50",250,NA,0
"38","LU2_51",250,NA,0
"39","LU2_52",250,NA,0
"40","LU2_54",250,NA,0
"41","LU2_56",250,NA,0
"42","LU2_57",250,NA,0
"43","LU3_5",250,NA,0
"44","LU3_7",250,NA,0
"45","LU3_10",250,NA,0.0328613237202228
"46","LU3_102",250,NA,0
"47","LU3_103",250,NA,0
"48","LU3_111",250,NA,0
"49","LU3_126",250,NA,0
"50","LU3_129",250,NA,0
"51","LU3_13",250,NA,0
"52","LU3_131",250,NA,0
"53","LU3_137",250,NA,0
"54","LU3_14",250,NA,0.0342692563803165
"55","LU3_147",250,NA,0.0334005815151098
"56","LU3_15",250,NA,0
"57","LU3_17",250,NA,0
"58","LU3_18",250,NA,0
"59","LU3_19",250,NA,0.0314165500549613
"60","LU3_20",250,NA,0.0268316432067673
"61","LU3_21",250,NA,0.0407280526925969
"62","LU3_25",250,NA,0
"63","LU3_27",250,NA,0.0131886667002652
"64","LU3_28",250,NA,0.0193538473775755
"65","LU3_32",250,NA,0
"66","LU3_36",250,NA,0
"67","LU3_38",250,NA,0.023843113517209
"68","LU3_39",250,NA,0.0690176238234099
"69","LU3_40",250,NA,0.0199912876597032
"70","LU3_41",250,NA,0.0752457048631957
"71","LU3_44",250,NA,0
"72","LU3_45",250,NA,0.0863186106346309
"73","LU3_46",250,NA,0
"74","LU3_48",250,NA,0
"75","LU3_50",250,NA,0
"76","LU3_51",250,NA,0.0416841909263797
"77","LU3_52",250,NA,0
"78","LU3_49",250,NA,0.00225971124348709
"79","LU2_3",500,NA,0.00918475857048474
"80","LU2_5",500,NA,0
"81","LU2_100",500,NA,0
"82","LU2_101",500,NA,0
"83","LU2_106",500,NA,0
"84","LU2_110",500,NA,0
"85","LU2_119",500,NA,0.0144942127089538
"86","LU2_123",500,NA,0.0142925200604462
"87","LU2_13",500,NA,0
"88","LU2_137",500,NA,0
"89","LU2_143",500,NA,0
"90","LU2_15",500,NA,0
"91","LU2_153",500,NA,0
"92","LU2_155",500,NA,0
"93","LU2_17",500,NA,0
"94","LU2_18",500,NA,0
"95","LU2_20",500,NA,0.00687102524937207
"96","LU2_21",500,NA,0.00992600323626479
"97","LU2_24",500,NA,0
"98","LU2_25",500,NA,0
"99","LU2_26",500,NA,0
"100","LU2_27",500,NA,0.0144926883862842
"101","LU2_29",500,NA,0
"102","LU2_30",500,NA,0
"103","LU2_31",500,NA,0
"104","LU2_32",500,NA,0
"105","LU2_33",500,NA,0
"106","LU2_34",500,NA,0
"107","LU2_36",500,NA,0
"108","LU2_38",500,NA,0
"109","LU2_39",500,NA,0
"110","LU2_40",500,NA,0
"111","LU2_42",500,NA,0
"112","LU2_44",500,NA,0
"113","LU2_46",500,NA,0
"114","LU2_47",500,NA,0
"115","LU2_50",500,NA,0
"116","LU2_51",500,NA,0
"117","LU2_52",500,NA,0
"118","LU2_54",500,NA,3.83982206165412e-06
"119","LU2_56",500,NA,0
"120","LU2_57",500,NA,0
"121","LU3_5",500,NA,0.00614269004489447
"122","LU3_7",500,NA,0
"123","LU3_10",500,NA,0.0161073424779448
"124","LU3_102",500,NA,0
"125","LU3_103",500,NA,0
"126","LU3_111",500,NA,0
"127","LU3_126",500,NA,0.0166637958071532
"128","LU3_129",500,NA,0.0107978077493198
"129","LU3_13",500,NA,0
"130","LU3_131",500,NA,0
"131","LU3_137",500,NA,0.0102414136844749
"132","LU3_14",500,NA,0.0232038716241297
"133","LU3_147",500,NA,0.0401049619807858
"134","LU3_15",500,NA,0
"135","LU3_17",500,NA,0.0212791059510047
"136","LU3_18",500,NA,0.0119883255163583
"137","LU3_19",500,NA,0.0436527218595344
"138","LU3_20",500,NA,0.0202624452569048
"139","LU3_21",500,NA,0.0333122475513727
"140","LU3_25",500,NA,0.0215102621674916
"141","LU3_27",500,NA,0.0138847057771432
"142","LU3_28",500,NA,0.0242658906760126
"143","LU3_32",500,NA,0
"144","LU3_36",500,NA,0
"145","LU3_38",500,NA,0.0263417022726917
"146","LU3_39",500,NA,0.0362001098092694
"147","LU3_40",500,NA,0.0374675016261581
"148","LU3_41",500,NA,0.0578653195481343
"149","LU3_44",500,NA,0
"150","LU3_45",500,NA,0.0654416636194209
"151","LU3_46",500,NA,0.00976186310767225
"152","LU3_48",500,NA,0
"153","LU3_50",500,NA,0
"154","LU3_51",500,NA,0.01683886601069
"155","LU3_52",500,NA,0.00619577757454782
"156","LU3_49",500,NA,0.0194670310960391
"157","LU2_3",750,NA,0.00408211492021587
"158","LU2_5",750,NA,0
"159","LU2_100",750,NA,0.0051265832666251
"160","LU2_101",750,NA,0
"161","LU2_106",750,NA,0
"162","LU2_110",750,NA,0
"163","LU2_119",750,NA,0.0109679258240741
"164","LU2_123",750,NA,0.00635223113797471
"165","LU2_13",750,NA,0
"166","LU2_137",750,NA,0.0093375307515621
"167","LU2_143",750,NA,0
"168","LU2_15",750,NA,0
"169","LU2_153",750,NA,0
"170","LU2_155",750,NA,0
"171","LU2_17",750,NA,0
"172","LU2_18",750,NA,0
"173","LU2_20",750,NA,0.00949489248747657
"174","LU2_21",750,NA,0.00441155699389477
"175","LU2_24",750,NA,0.00208473848115306
"176","LU2_25",750,NA,0.0031512420487058
"177","LU2_26",750,NA,0
"178","LU2_27",750,NA,0.00644119483834898
"179","LU2_29",750,NA,0
"180","LU2_30",750,NA,0
"181","LU2_31",750,NA,0
"182","LU2_32",750,NA,0
"183","LU2_33",750,NA,0
"184","LU2_34",750,NA,0
"185","LU2_36",750,NA,0
"186","LU2_38",750,NA,0
"187","LU2_39",750,NA,0
"188","LU2_40",750,NA,0
"189","LU2_42",750,NA,0
"190","LU2_44",750,NA,0
"191","LU2_46",750,NA,0
"192","LU2_47",750,NA,0
"193","LU2_50",750,NA,0
"194","LU2_51",750,NA,0
"195","LU2_52",750,NA,0
"196","LU2_54",750,NA,0.00362900929611282
"197","LU2_56",750,NA,0
"198","LU2_57",750,NA,0
"199","LU3_5",750,NA,0.00273008446439745
"200","LU3_7",750,NA,0
"201","LU3_10",750,NA,0.0172575967044594
"202","LU3_102",750,NA,0.00337811610856353
"203","LU3_103",750,NA,0.00310536001310528
"204","LU3_111",750,NA,0
"205","LU3_126",750,NA,0.00836338149187933
"206","LU3_129",750,NA,0.0150728086956985
"207","LU3_13",750,NA,0.00125198638463362
"208","LU3_131",750,NA,0
"209","LU3_137",750,NA,0.00458290885576828
"210","LU3_14",750,NA,0.0182972777565806
"211","LU3_147",750,NA,0.0230381816476424
"212","LU3_15",750,NA,0
"213","LU3_17",750,NA,0.0152616600622055
"214","LU3_18",750,NA,0.0107007878969331
"215","LU3_19",750,NA,0.0256642180231061
"216","LU3_20",750,NA,0.0230350715924155
"217","LU3_21",750,NA,0.0248810195194501
"218","LU3_25",750,NA,0.0211444131215905
"219","LU3_27",750,NA,0.0138953782952061
"220","LU3_28",750,NA,0.0242068183428367
"221","LU3_32",750,NA,0
"222","LU3_36",750,NA,0
"223","LU3_38",750,NA,0.0350919314076494
"224","LU3_39",750,NA,0.0288917344002954
"225","LU3_40",750,NA,0.0493273260135513
"226","LU3_41",750,NA,0.0524699431897403
"227","LU3_44",750,NA,0.00285133667952506
"228","LU3_45",750,NA,0.0450225710591764
"229","LU3_46",750,NA,0.00510508054687691
"230","LU3_48",750,NA,0.0106268252537572
"231","LU3_50",750,NA,0.00102576011734851
"232","LU3_51",750,NA,0.014238528205294
"233","LU3_52",750,NA,0.0108074137622159
"234","LU3_49",750,NA,0.0139128501952264
"235","LU2_3",1000,NA,0.00229618964262144
"236","LU2_5",1000,NA,0
"237","LU2_100",1000,NA,0.00538756461738388
"238","LU2_101",1000,NA,0
"239","LU2_106",1000,NA,0.00288389782439253
"240","LU2_110",1000,NA,0
"241","LU2_119",1000,NA,0.00756611117680516
"242","LU2_123",1000,NA,0.00653096659853374
"243","LU2_13",1000,NA,0
"244","LU2_137",1000,NA,0.00578524279312696
"245","LU2_143",1000,NA,0
"246","LU2_15",1000,NA,0
"247","LU2_153",1000,NA,0
"248","LU2_155",1000,NA,0
"249","LU2_17",1000,NA,0
"250","LU2_18",1000,NA,0
"251","LU2_20",1000,NA,0.00534087702420515
"252","LU2_21",1000,NA,0.00248150080906533
"253","LU2_24",1000,NA,0.0043095713427996
"254","LU2_25",1000,NA,0.002545803389551
"255","LU2_26",1000,NA,0
"256","LU2_27",1000,NA,0.00684720408840539
"257","LU2_29",1000,NA,0
"258","LU2_30",1000,NA,0
"259","LU2_31",1000,NA,0
"260","LU2_32",1000,NA,0
"261","LU2_33",1000,NA,0
"262","LU2_34",1000,NA,0
"263","LU2_36",1000,NA,0
"264","LU2_38",1000,NA,0
"265","LU2_39",1000,NA,0
"266","LU2_40",1000,NA,0.00312540330999471
"267","LU2_42",1000,NA,0
"268","LU2_44",1000,NA,0
"269","LU2_46",1000,NA,0
"270","LU2_47",1000,NA,0.00254580338955124
"271","LU2_50",1000,NA,0
"272","LU2_51",1000,NA,0
"273","LU2_52",1000,NA,0
"274","LU2_54",1000,NA,0.0020413177290636
"275","LU2_56",1000,NA,0
"276","LU2_57",1000,NA,0
"277","LU3_5",1000,NA,0.00153567251122372
"278","LU3_7",1000,NA,0
"279","LU3_10",1000,NA,0.0221777769927208
"280","LU3_102",1000,NA,0.00378471843580152
"281","LU3_103",1000,NA,0.0039351625794235
"282","LU3_111",1000,NA,0
