Site,Latitude,Longitude
1,55.34638335,-110.8735182
2,55.35437153,-110.891946
3,55.36959117,-111.1373637
4,55.40331867,-111.1496401
5,55.41213196,-110.556696
6,55.39118292,-110.5840206
7,55.36599937,-110.5959438
8,55.3535974,-110.6703553
9,55.38745112,-110.743112
10,55.40367785,-110.7422804
11,55.41664941,-110.7446602
12,55.44704558,-110.6429543
13,55.4388076,-110.7620773
14,55.46645009,-110.8154506
15,55.47056389,-110.8619216
16,55.53359235,-110.8915503
17,55.55227518,-110.8935119
18,55.56273069,-110.9248773
19,55.54885818,-110.9440186
20,55.55345335,-111.066878
21,55.61708435,-111.1201911
22,55.36730051,-111.2173776
23,55.40995805,-111.2006488
24,55.42031095,-111.1701948
25,55.35072443,-110.979861
26,55.65617126,-111.1372847
27,55.69635499,-111.109584
28,55.67453718,-111.0888682
29,55.66377099,-111.0623448
30,55.73361651,-111.0341422
31,55.73048537,-110.999379
32,55.71524675,-110.6042685
33,55.68243718,-110.6410992
34,55.62783078,-110.7238816
35,55.6818278,-110.8830774
36,55.72573311,-110.8859554
37,55.7607237,-110.8981556
38,55.78888068,-110.8669056
39,55.83554486,-110.8622757
40,55.85250712,-110.8386393
41,55.81649529,-110.8325486
42,55.81803238,-110.7971449
43,55.81424647,-110.7604304
44,55.81424232,-110.7047866
45,55.81505628,-110.6550237
46,55.81531455,-110.6035728
47,55.81765563,-110.5526078
48,55.82342324,-110.9396985
49,55.83184613,-110.4844186
50,55.83895763,-110.4521014
51,55.87124435,-110.4024251
52,55.86499068,-110.3391659
53,55.88861189,-110.2540101
54,55.85110206,-110.278848
55,55.81449585,-110.2866424
56,55.79160835,-110.2926109
57,55.77903234,-110.2885818
58,55.6009306,-111.0260122
59,55.51972572,-110.8711573
60,55.35733724,-110.6515225
61,55.80391375,-110.8594998
62,55.69354299,-110.6319138
63,55.36811505,-111.1033266
64,55.87109802,-110.3730062
