"site","UTME","UTMN","treatment","camera_check","start_date","end_date"
"1",508021,6133345,"post","C4",2017-10-24,2018-09-30
"1",508021,6133345,"post","C5",2018-10-01,2019-09-30
"1",508021,6133345,"post","C6",2019-10-01,2020-10-15
"1",508021,6133345,"pre","C1",2011-10-22,2012-09-29
"1",508021,6133345,"pre","C2",2012-10-01,2013-08-10
"1",508021,6133345,"pre","C3",2013-10-21,2014-10-23
"10",516261,6139753,"post","C4",2017-10-25,2018-09-30
"10",516261,6139753,"post","C5",2018-10-01,2019-09-30
"10",516261,6139753,"post","C6",2019-10-01,2020-10-15
"10",516320,6139744,"pre","C1",2011-10-23,2012-09-17
"10",516320,6139744,"pre","C2",2012-10-18,2013-09-21
"10",516320,6139744,"pre","C3",2013-10-09,2014-10-24
"12",522585,6144598,"post","C4",2017-10-25,2018-09-30
"12",522585,6144598,"post","C5",2018-10-01,2019-09-30
"12",522585,6144598,"post","C6",2019-10-01,2020-04-10
"12",522585,6144598,"pre","C1",2011-10-23,2012-09-27
"12",522585,6144598,"pre","C2",2012-10-03,2013-09-28
"12",522585,6144598,"pre","C3",2013-10-01,2013-11-16
"13",514900,6143859,"post","C4",2017-10-24,2018-09-30
"13",514900,6143859,"post","C5",2018-10-01,2019-09-30
"13",514900,6143859,"post","C6",2019-10-01,2020-10-15
"13",515053,6143649,"pre","C1",2011-10-23,2012-09-29
"13",515053,6143649,"pre","C2",2012-10-02,2013-09-23
"13",515053,6143649,"pre","C3",2013-10-22,2014-10-24
"14",511668,6146715,"post","C4",2017-10-25,2018-09-30
"14",511668,6146715,"post","C5",2018-10-01,2019-09-30
"14",511668,6146715,"post","C6",2019-10-01,2020-10-16
"14",511668,6146715,"pre","C1",2011-10-24,2012-09-09
"14",511668,6146715,"pre","C2",2012-10-01,2013-09-25
"14",511668,6146715,"pre","C3",2013-10-04,2014-10-24
"15",508732,6147178,"post","C4",2017-10-25,2018-09-30
"15",508732,6147178,"post","C5",2018-10-01,2019-09-30
"15",508732,6147178,"post","C6",2019-10-01,2020-10-16
"15",508729,6147166,"pre","C1",2011-10-25,2012-09-29
"15",508729,6147166,"pre","C2",2012-10-01,2013-09-26
"15",508729,6147166,"pre","C3",2013-10-04,2014-10-24
"16",506845,6154177,"post","C4",2017-10-25,2018-09-30
"16",506845,6154177,"post","C5",2018-10-01,2019-09-30
"16",506845,6154177,"post","C6",2019-10-01,2020-10-16
"16",506845,6154177,"pre","C1",2011-10-26,2012-09-28
"16",506845,6154177,"pre","C2",2012-10-03,2013-09-26
"16",506845,6154177,"pre","C3",2013-10-03,2014-10-24
"17",506718,6156256,"post","C4",2017-10-25,2018-09-30
