"Site","BUFF_DIST","Feature_Area","Buffer_Area","PRE-LOW-IMPACT-SEISMIC","TRAIL","LOW-IMPACT-SEISMIC","VEGETATED-EDGE-ROADS","PIPELINE","HARVEST-AREA","CULTIVATION","WELL-ABAND","COUNTRY-RESIDENCE","RURAL-RESIDENCE","RECREATION","SURROUNDING-VEG","TRANSFER_STATION","WELL-OTHER","WELL-BITUMEN","WELL-CASED","WELL-GAS","CLEARING-WELLPAD-UNCONFIRMED","MISC-OIL-GAS-FACILITY","CLEARING-UNKNOWN","CAMP-INDUSTRIAL","OIL-GAS-PLANT","OPEN-PIT-MINE","GRVL-SAND-PIT","VEGETATED-EDGE-RAILWAYS","ROAD-GRAVEL-1L","ROAD-GRAVEL-2L","ROAD-PAVED-UNDIV-1L","ROAD-PAVED-UNDIV-2L","ROAD-UNIMPROVED","TRUCK-TRAIL","BORROWPIT-DRY","BORROWPITS","SUMP","FACILITY-OTHER","TRANSMISSION-LINE","ROAD-UNCLASSIFIED","ROAD-UNPAVED-2L","RLWY-SGL-TRACK","GREENSPACE","RUNWAY","CAMPGROUND","WELL_CLEARED_NOT_CONFIRMED","WELL-UNKNOWN","FACILITY-UNKNOWN","URBAN-INDUSTRIAL","RLWY-SPUR","AIRP-RUNWAY","ROAD-WINTER-ACCESS","BORROWPIT-WET","LAGOON","CANAL","TRAIL-ATV"
"1","250","0","196259.835910984","0","0","0","0.0380857520288634","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0196947862369613","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","250","0","196259.835910912","0.00817968655792301","0","0","0.0228916781388681","0.0254011688586956","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.101453545475343","0","0","0","0","0","0.00695399227746035","0","0","0","0.0195818091329415","0","0","0","0","0","0.0480519887893493","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","250","0","196259.835911048","0.0396304552713876","0.000989730458319439","0.0109112059396157","0.0519844348350953","0.0703490113177159","0","0","0.00389528953601705","0","0","0","0","0","0.0382227753108915","0.00991915965029222","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0292583396131694","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","250","0","196259.83591102","0.0014671603851886","0","0","0.0239364004241706","0.0463026685885826","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0264547371915896","0","0","0.0256961282056485","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","250","0","196259.835910914","0.0119296817778813","0","0","0.0282960781332173","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.288117927560484","0","0","0","0","0","0.00319710894500093","0","0","0","0.0242020041844196","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","250","0","196259.835910934","0","0","0","0.0389825663815997","0.0308610176067829","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0287116960843574","0","0","0","0.00531804550529222","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","250","0","196259.835911002","0","0","0","0.027972326096405","0.0330054844263028","0","0","0","0","0","0","0","0","0","0","0","4.5803468803803e-05","0","0","0","0","0","0","0","0","0.0214402376832029","0","0","0","0.00785805503099488","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","250","0","196259.835910937","0","0","0","0.0225549895157295","0.114513531425309","0","0","0.0281674359705834","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0224116877778967","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","250","0","196259.835910859","0","0","0","0.035184486991805","0.186360123683475","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.194954499345919","0","0","0","0","0.0321525473988504","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","250","0","196259.835910951","0","0","0","0.0443787158865024","0.178845187853934","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0307519795922949","0","0","0.00463484159397523","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","250","0","196259.83591095","0","0","0","0.0325128449741203","0.0283721058360726","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0298627042812021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
