"Site","BUFF_DIST","LC_class20","LC_class33","LC_class34","LC_class50","LC_class110","LC_class210","LC_class220","LC_class230"
"1","250","0","0","0.208811603922403","0.00127661352815479","0","0.288717207442246","0","0.50119452296512"
"2","250","0","0","0.14425435484925","0","0.217920980583074","0.6378246718529","0","0"
"3","250","0","0","0.324383419314482","0","0","0.65663413488667","0.00066163010605838","0.0183207419305767"
"4","250","0","0","0.298563105018474","0","0.0430294293860512","0.658407461415138","0","0"
"5","250","0","0","0.226351543633988","0","0","0.0679082503511441","0.705740235575605","0"
"6","250","0","0","0.288732535381972","0","0","0.342139015974621","0","0.369128382027488"
"7","250","0","0","0.209789863253813","0.000458303951147024","0.366912517504887","0.422839295902625","0","0"
"8","250","0","0","0.259995166624709","0.503931297186901","0.23607358469393","0","0","0"
"9","250","0","0.0981147899217664","0.261435176250187","0","0","0.640449981043708","0","0"
"10","250","0","0","0.231542797531983","0","0.124003425523547","0.125158596741926","0","0.519295243353398"
"11","250","0","0","0.145140705273963","0","0","0.127492415895318","0","0.727366836658827"
"12","250","0","0.318409177365292","0.333163631019736","0.097387675610649","0.251039533046764","0","0","0"
"13","250","0","0","0","0","0","0.210424568683432","0.533006933493123","0.256568497823173"
"14","250","0","0","0.00749731645347811","0","0.249078406317173","0.740252499586466","0","0.00317175744452063"
"15","250","0.0185464069332578","0","0.226017685220117","0","0","0.0183134629978336","0.210184661142786","0.526937720077114"
"16","250","0","0","0.213478743972727","0","0","0.786521240825073","0","0"
"17","250","0","0","0.0775002695626664","0.108529166258437","0.233836645002917","0.527279707946091","0","0.0528542141737656"
"18","250","0","0","0.247252686356435","0","0","0.319780937787909","0.432966379191772","0"
"19","250","0","0","0.114528788188375","0","0","0.885471253926521","0","0"
"20","250","0","0","0.131590630804166","0.000174868705926041","0","0.763850518283695","0","0.104383988744972"
"21","250","0","0","0.22495055721747","0","0.127692239746906","0.0190412790545265","0.179144157862146","0.449171625636347"
"22","250","0","0","0.105827392174765","0","0.143319524265436","0.750852944379714","0","0"
"23","250","0","0","0.125975358758516","0","0","0.874024708797082","0","0"
"24","250","0","0","0.15882570942596","0","0","0.773191353947004","0.0679829354460286","0"
"25","250","0","0","0.190597483285435","0","0.041517662904498","0.643593338654227","0.124291516239865","0"
"26","250","0","0","0.210644765265613","0.0444486970034533","0","0.742857276919761","0","0.0020492264003958"
"27","250","0.466070678908012","0","0.289919081325006","0.190696723540701","0","0","0.021791072996979","0.0315224274997161"
"28","250","0","0","0","0.357228856731557","0.082802038939309","0.210790744262381","0.348110730525433","0.00106762954106993"
"29","250","0","0","0.219679392648233","0","0.156969675438408","0.0109059068998486","0.612445023216663","0"
"30","250","0.043206419539531","0","0.165579747574179","0","0.129699633966505","0.00395316985650542","0.230489333782835","0.427071721956613"
"31","250","0","0","0.139266073390226","0","0.416114659548073","0.0410343754488699","0.310423364859975","0.0931615236032912"
"32","250","0","0","0.300211615985173","0","0.1143473173975","0.585441049509918","0","0"
"33","250","0","0","0.226875359295258","0","0.012035998055911","0.761088589966204","0","0"
"34","250","0","0","0.146239719869854","0","0","0.742382575310237","0","0.11137772001927"
"35","250","0","0","0.16215226832976","0","0","0.837847710498503","0","0"
"36","250","0","0","0.245915944806202","0","0","0.166647728310765","0.193032020825107","0.394404320845515"
"37","250","0","0","0.169959424041241","0.17945207295428","0","0.596299772084782","0","0.0542887759950626"
"38","250","0","0","0.1657372492237","0","0.304596419860305","0.292643591506366","0","0.237022705566176"
"39","250","0.242584857285723","0","0.234531913295429","0.0882249836646923","0.0377054754830279","0.249276574047427","0.147676218200046","0"
"40","250","0","0","0.184647603729531","0","0","0.815352356641764","0","0"
"41","250","0","0","0.127483184686319","0","0.184706819991049","0.687809999208731","0","0"
"42","250","0","0","0.0290249048732787","0","0","0","0.97097509086912","0"
"43","250","0","0","0.147838563658471","0","0.441323234486373","0","0.410838209661619","0"
"44","250","0","0","0.113909154952413","0.00481503803528342","0.237579370514481","0.151329944646216","0.49236649201429","0"
"45","250","0","0.230276560774699","0.167080130587049","0.161274557059983","0.441368783824138","0","0","0"
"46","250","0","0","0.128387564588615","0.0539164748876388","0.367814935085547","0.198877436091169","0.217823347321304","0.0331802421437292"
"47","250","0","0","0.0939182747869782","0.000276411758489039","0.260614358459099","0.384395766817469","8.24599332337041e-06","0.260786931126014"
"48","250","0","0","0","0","1.00000000000005","0","0","0"
"49","250","0","0","0.256240854097989","0","0.244712424410118","0","0.44788691584782","0.0511598193120128"
"50","250","0","0","0.198669773213643","0","0","0.473880774268056","0.327449435683707","0"
"51","250","0","0","0.222587835849802","0","0","0.110662286073646","0.25912883863512","0.407621072859697"
"52","250","0","0","0.215823922397903","0","0","0.355291638999185","0.264705710733546","0.16417873825789"
"53","250","0","0","0.217275512223721","0","0","0.705684849445956","0","0.0770396340227334"
"54","250","0","0","0.170236201970697","0","0","0.829763756677325","0","0"
"55","250","0","0","0.235503369102589","0","0","0.764496599673514","0","0"
"56","250","0","0","0.308947318959661","0.451595090078064","0","0","0.239457682599728","0"
"57","250","0","0","0.147260904416891","0","0","0.19000035294838","0.25617940183799","0.406559490730401"
"58","250","0","0","0.169768007486952","0","0","0.113604144760514","0.137608058764345","0.579019801793079"
"59","250","0","0","0.209747367923109","0","0","0","0.361909213958793","0.42834344978347"
"60","250","0.0136649051968763","0","0.343532618221221","0","0.323661083976632","0","0.319141261590173","0"
"61","250","0","0","0.197873428434745","0.527015662047359","0","0","0","0.275110853493503"
"62","250","0","0","0.170917688734592","0.00587531156137105","0.137454086632387","0.68575285314882","0","0"
"63","250","0","0","0.287625948515402","0","0.255471990758606","0.189686032802021","0.255324579528279","0.0118914680363311"
"64","250","0","0","0.270914255951732","0","0.000668959412755735","0.179415847716256","0.502875104742557","0.0461259064902725"
"1","500","0","0","0.137334031694109","0.0317181740962247","0","0.487452597216129","0","0.343495189791166"
"2","500","0","0","0.100139624638379","0","0.201150720625211","0.64876977665087","0","0.0499398781662201"
"3","500","0","0","0.15508887393766","0","0.033209950588796","0.524218023745053","0.101154808260781","0.18632835366725"
"4","500","0.00501131335673979","0","0.15594915560869","0.0638516286874713","0.0694021615495942","0.705785743288613","0","0"
"5","500","0","0","0.116663561506254","0","0.000600974019894638","0.186761716252282","0.695973758666863","0"
"6","500","0","0","0.16840063076015","1.01799235347903e-05","0","0.453297466680577","0","0.378291716074748"
"7","500","0","0","0.147042551372191","0.131679431031407","0.272769748538028","0.448508272407463","0","0"
"8","500","0","0.069976354908151","0.186302129905966","0.369949450588112","0.373772064594915","0","0","0"
"9","500","0","0.103598094668849","0.148357818125454","0","0.0495923014992678","0.698451781931356","0","0"
"10","500","0","0","0.134630273415119","0","0.266295447190332","0.370095242108855","0.0149319402490666","0.214047099896956"
"11","500","0.0524416627127034","0","0.106888703937632","0","0","0.146522874035689","0.105451892976384","0.588694861475029"
"12","500","0","0.167744033510248","0.139733450288706","0.457109849757872","0.2354126725276","0","0","0"
"13","500","0","0","0.0663625298247653","0","0.0574255269665827","0.380414759354912","0.389748704042325","0.10604844636814"
"14","500","0","0","0.0267733829469993","0","0.123860380132396","0.771455439252637","0","0.0779107951777817"
"15","500","0.116102431853369","0","0.116808858574126","0","0","0.153628294578582","0.0984371134607702","0.515023298516589"
"16","500","0","0","0.139356117718929","0","0","0.844591524158039","0","0.0160523767849595"
"17","500","0","0","0.0613877534272582","0.0271322915645859","0.128290398082193","0.543230148982774","0.0623486716840997","0.177610745008405"
"18","500","0","0.0720933744193077","0.134363702155022","0","0","0.576689477868655","0.2168534511292","0"
"19","500","0","0","0.0715213523651396","0","0","0.90076748047069","0.0277111972918114","0"
"20","500","0","0","0.0700108548843351","0.110524026236331","0","0.561371034501731","0","0.258094083167207"
"21","500","0","0","0.25587124454552","0.013887260110602","0.11592619703844","0.184497809886242","0.282691102467828","0.147126352746658"
"22","500","0","0","0.129545882497937","0","0.105675837752082","0.764778268687106","0","0"
"23","500","0","0","0.097397502442945","0.048545434299273","0","0.814504735287337","0","0.0395523351416315"
"24","500","0","0","0.0941403354152402","0","0.0106987971621181","0.795570817784386","0.0441580240150553","0.0554320258456097"
"25","500","0","0","0.10541319362914","0","0.0213787134435567","0.570008762678615","0.0780852877018917","0.225114042995459"
"26","500","0","0","0.112835756098619","0.125672528454829","0.0920181667577493","0.561538597021505","0","0.107934941003381"
"27","500","0.245399648462733","0","0.179385592457389","0.330735887927241","0","0","0.142280103537619","0.102198757967965"
"28","500","0.0416934561014952","0","0.137575618854325","0.304776231146632","0.115182557086095","0.124371659113744","0.144906012345499","0.131494450133991"
"29","500","0","0","0.162299315456395","0","0.444478409937754","0.104512076234934","0.288710198273387","0"
"30","500","0.216305550517564","0","0.131609711938441","0","0.17503839944622","0.160284796135609","0.0909880338632636","0.22577351326041"
"31","500","0","0","0.0768611569310537","0","0.392213938815244","0.0889828900878548","0.277579920669559","0.164362090497305"
"32","500","0","6.23336893091343e-05","0.14605411854068","0","0.226635637684161","0.627247906708816","0","0"
"33","500","0","0","0.157661939587544","0.0321462347807868","0.0674132364778003","0.661781699166491","0","0.0809968606366944"
"34","500","0","0","0.11122412882514","0","0.133554474308533","0.52531407593325","0","0.229907327187633"
"35","500","0","0","0.0856364545842634","0","0","0.861546174525707","0.0528173688606561","0"
"36","500","0","0","0.12321943076612","0","0.0593239962754031","0.428912577325454","0.159662113916416","0.228881883629928"
"37","500","0","0","0.119522750041882","0.154667451763795","0","0.530853939979247","0","0.194955864799483"
"38","500","0","0","0.101434741736636","0","0.380806330945052","0.388263887890917","0","0.129495038933307"
"39","500","0.291648316780613","0","0.166132717187055","0.0298971089343393","0.0822830295617152","0.272555900062634","0.149391462690477","0.00809147748303121"
"40","500","0","0","0.0974462097514746","0","0.0342620291837674","0.841034316926053","0.0272574388807539","0"
"41","500","0","0","0.0694188782177272","0","0.214069507235079","0.634413993559077","0.07964609177937","0.0024515303804703"
"42","500","0","0","0.171623410094905","0","0.0513577395173012","0","0.777018826570796","0"
"43","500","0.0303966613494858","0.00139393092704019","0.120847210405462","0.00429199026641935","0.241147599725704","0.149640778399915","0.435544069266456","0.0167377909688441"
"44","500","0","0.000546236602740675","0.072701596349697","0.25675835608786","0.252748281917279","0.0657153278440799","0.351530200514508","0"
"45","500","0","0.175654083945062","0.110423246364576","0.343306004476025","0.327260307909057","0","0.0433563583026549","0"
"46","500","0","0","0.0735643719551053","0.155426190879745","0.266027403000189","0.336651610596765","0.0980979407050022","0.0702324828779156"
"47","500","0","2.72220392396882e-05","0.0897439626618513","0.0462397101805612","0.178657990955861","0.434189632230798","0.0894320063932862","0.161709473976201"
"48","500","0","0","0","0","0.869631783855788","0","0.0775877412823932","0.0527804748615361"
"49","500","0","0","0.169214088977181","0","0.181002319023725","3.22940752399556e-06","0.494519652512692","0.155260709434341"
"50","500","0","0","0.106542809638526","0.0324764041301319","0.013582353203582","0.463826249421326","0.383572180224684","0"
"51","500","0","0.052519428437893","0.143059767206298","0","0.0334708564626271","0.209958949704377","0.331543745623162","0.229447250699219"
"52","500","0","0","0.195715315488279","0","0","0.334496739892555","0.19166296545021","0.278124976545228"
"53","500","0","0","0.122468073765373","0","0.0787877264822051","0.706825101981857","0","0.0919190874436885"
"54","500","0","0","0.117468930210926","0.0909382570844022","0","0.791592797778804","0","0"
"55","500","0","0","0.126044833239978","0","0","0.739123440471913","0","0.134831723060766"
"56","500","0","0","0.20450777980535","0.340751975741973","0","0.00261933845559817","0.452120911778705","0"
"57","500","0","0","0.126822852157535","0.0552371495502679","0","0.24178765029908","0.323470651275023","0.252681704345189"
"58","500","0","0","0.102589325439474","0","0","0.308464041891608","0.348540966690012","0.240405670199311"
"59","500","0","0.0841567648561135","0.180021619113904","0","0","0.177049963419025","0.169742165906976","0.389029477413457"
"60","500","0.168659753878763","0","0.217192501898642","0.137811464187815","0.189693542229531","0","0.286642744765011","0"
"61","500","0","0","0.157175524162329","0.347936550039812","6.47832671569484e-05","0.0460459795981904","0.183313873212287","0.265463277621625"
"62","500","0","0","0.100634337652331","0.114796316356777","0.173365668962386","0.573098541589198","0.00128782877475157","0.0368172893632534"
"63","500","0","0","0.198020834063527","0","0.106288469957757","0.38286701844518","0.171701404645616","0.141122274901084"
"64","500","0","0","0.162051474235042","0.0263710327200084","0.0852662294617996","0.219150082170417","0.338330401260341","0.168830782572296"
"1","750","0","0","0.0895638301693047","0.014096966264989","0.0329137502998036","0.609451137669216","0","0.253974315053271"
"2","750","0","0","0.0668055521873909","0","0.207228991628404","0.673167752889272","0","0.0527977023589727"
"3","750","0","0","0.0891286429108142","0","0.0379190199861971","0.509840769060289","0.111842842852707","0.251268728985831"
"4","750","0.0430898340986526","0","0.151841429206485","0.0626782500451939","0.0885921906195677","0.649794324216025","0","0.00400398116951463"
"5","750","0","0","0.0771302920934559","0","0.0500234794688293","0.184610739477183","0.688235492054919","0"
"6","750","0","0","0.117466833410444","0.01222987148533","0.00268412607352985","0.554573954415668","0","0.313045213120613"
"7","750","0","0","0.1024971172763","0.154826057779753","0.252174685329652","0.477332789717233","0","0.0131693514997948"
"8","750","0","0.130935452745956","0.128476321166068","0.44087143204566","0.241778235629127","0","0.0579385551744549","0"
"9","750","0.0118799041778382","0.0461123483573171","0.0996761993535987","0","0.0739699262671217","0.768361620667132","0","0"
"10","750","0","0","0.102019286291763","0","0.26022189721904","0.433499006966966","0.0791988457902776","0.125060961399075"
"11","750","0.115148055825085","0","0.0772000065596013","0","0","0.344408743371234","0.151356966337036","0.311886228308845"
"12","750","0","0.0745610154223382","0.0818833332809434","0.469718761934595","0.261619794166135","0.0906152015006288","0.0216018963472091","0"
"13","750","0","0","0.0736126766062908","0","0.0360176513688005","0.409349153545736","0.382651806375692","0.0983687088370025"
"14","750","0.0024490076207519","0","0.0238125489734412","0","0.0794733616896111","0.752016210593204","0.0272054767634912","0.115043393654392"
"15","750","0.0852328000412857","0","0.0826248272321032","0","0","0.280365975707824","0.123222684728875","0.428553696106966"
"16","750","0","0","0.124367190576135","0","0","0.750675198187527","0","0.124957614629411"
"17","750","0","0","0.0455836960789413","0.012058796250928","0.0800634319562739","0.493518469600543","0.158240727860404","0.210534867430999"
"18","750","0","0.0870259333429545","0.119510359988803","0","0.0440234049278268","0.435923161727037","0.293569608698316","0.0199475365744296"
"19","750","0","0","0.0492267389172024","0.0423254058032901","0.011380423474822","0.875182558750582","0.0218848940695854","0"
"20","750","0","0","0.0528189881065622","0.158798731034198","0","0.458869738233194","0.0666004616857086","0.262912077949042"
"21","750","0","0","0.168156835360734","0.0760017901105656","0.0860368110947941","0.302085084513314","0.302329974296812","0.0653894901096427"
"22","750","0","0","0.0904969130368311","0","0.0991603137296891","0.810342769944571","0","0"
"23","750","0","0","0.0689504079601886","0.0683905505367495","0.0110806271990161","0.781913093631183","0.00864492994579305","0.0610203935137881"
"24","750","0","0.0102253436150438","0.133969644238788","0.0317618824251715","0.0325088120463","0.677934818233184","0.0362614549554195","0.0773380414247364"
"25","750","0","0","0.0718121871141476","0","0.0173400481206526","0.602061673633032","0.0530779699552441","0.255708121736537"
"26","750","0","0","0.103556315640348","0.163898716967319","0.108076392239775","0.444297612176208","0","0.180170967209439"
"27","750","0.170022036297469","0","0.117907561040454","0.430912138840439","0","0.0170813898180155","0.101658305672438","0.162418567523879"
"28","750","0.112273061651993","0","0.112496061113164","0.171031786652287","0.1195489069104","0.144738232368874","0.171638395131838","0.168273535038591"
"29","750","0","0","0.116292601717787","0.00560521162230951","0.665869644443952","0.0695495518720129","0.142682982706644","0"
"30","750","0.212387909868995","0","0.084569316827817","0","0.247864113316266","0.198988749070965","0.116136838545294","0.140053073019493"
"31","750","0","0.0379553971510327","0.0524089444052021","0","0.308914552462844","0.0983770247564175","0.325325981299161","0.177018099998549"
"32","750","0","0.0299712292465125","0.123768805154222","0.000736288543720974","0.222846463963621","0.619946933038526","0.00273026850779084","0"
"33","750","0","0","0.0955456307731844","0.0308264757596958","0.148670211379789","0.630489683724035","0","0.0944679793500838"
"34","750","0","0","0.0856839589874053","0","0.272163824383722","0.347160014940105","0.0482200456018623","0.246772157247019"
"35","750","0.0269460036143376","0","0.057350908666116","0.0184212638859058","0","0.79567365244742","0.101608171021805","0"
"36","750","0","0","0.0968760025775458","0","0.0506981028076066","0.471597100503464","0.1928503769497","0.187978420695596"
"37","750","0","0","0.0810159101030826","0.123564937955147","0.0268020423876811","0.513857774648336","0.0133222801125583","0.241437056926663"
"38","750","0","0","0.0802357257713582","0.00364195939637079","0.391867266904381","0.459007070347559","0","0.0652479781769537"
"39","750","0.184367621873725","0","0.171567705581424","0.0375959652851751","0.0520531661327681","0.287358623919016","0.246675794294348","0.02038114407564"
"40","750","0.0136923336652767","0","0.0653927562299253","0","0.0587090085613253","0.737286067526517","0.124919832270348","0"
"41","750","0","0","0.0478304288852228","0","0.168105037672493","0.63834255232307","0.115150594050811","0.0305713876317491"
"42","750","0","0","0.132764510273114","0","0.157882106040149","0.000819853737540889","0.692830564477057","0.0157029707600133"
