Array,Deploy Date,Deploy Time,Crew,Grid Cell #,Site,Camera Unit #,SD Card #,Lat,Long,GPS Label,Forest Type,Camera Site Description,Topography,Grade (%),Elevation (m),Distance to Trail (m),Camera Direction,Trail Use Rating,Distance to Lure,Comments and Access Notes
OSM_LU13,18-Sep-22,14:15,RS NB,LU13_18,LU13_18,ACME-2022-112,OSM-22-111,57.17993,-111.5902,LU13_18,Broadleaf,"Mixed wood/spruce foresrt with labrador tea and some moss, not wet though. Close to industrial park. On game trail near opening in woods. ",Flat,0,286,1,NE,2,3,"Bear poop right in front of camera. Drive into Fort McKay Industrial Park, turn left at stop sign, drive to end of road and park. Easy walk into forest, follow clearing/game trail. "
OSM_LU13,18-Sep-22,14:48,RS NB,LU13_15,LU13_15,ACME-2022-115,OSM-22-10,57.14037,-111.59116,LU13_15,Broadleaf,Game trail in conifer stand with mossy understorey adjacent to cut line that comes out from mine. ,Flat,0,277,1,N,3,5,Drive south of point and turn into exit from hwy ~500 m from point on E-side of hwy. Pull over before gate and follow forest then cutline to site. Site is on east side of cutline. 
OSM_LU13,18-Sep-22,13:11,RS NB,LU13_03,LU13_03,ACME-2022-46,OSM-22-92,57.12465,-111.49142,LU13_03,Mixed,Down game trail in regenerating forest - aspen saplings and young pine tree stand. Dry understorey with blueberry and some grasses and shrubs. Camera on only big pine. ,Slope,0,322,2,NW,2,7,"Turn into old sandy road ~2m W of re-fuel station, on north side of raod. Follow in truck until junction that heads west. Follow west and park unitl driveable. Walk up road till perpendicular with site and bushwhack in. "
OSM_LU13,18-Sep-22,12:09,RS NB,LU13_34,LU13_34,ACME-2022-43,OSM-22-48,57.12297,-111.45408,LU13_34,Conifer,"Dry, open pine forest with lots of blueberries. Camera on well-used bear trail. Close to spot with more shrubs.",Slope,5,342,1.5,N,3,4,"Here be blueberries and bears (and coyotes, wolf, grouse - on main road mostly). Park on line near fueling station. The line is sandy and easy to walk (but also seems driveable). Camera is on east side of trail in open pine forest on a well-used bear path. Weird baiting station with tin cans/bones and a mailbox (for a camera?) not too far away. "
OSM_LU13,18-Sep-22,10:52,RS NB,LU13_57,LU13_57,ACME-2022-51,OSM-22-61,57.20649,-111.05726,LU13_57,Conifer,On game trail that looks to be on an old seismic line. In a conifer stand with mossy understory and horsetails. Adjacent to mixed forest patch. ,Flat,0,523,1.5,W,2,6,Park roadside and follow transmission line on NW side of raod. Once perpendicular to site bushwhack through forest on North side of transmission line to site. 
OSM_LU13,18-Sep-22,14:32,LG AB,LU13_16,LU13_16,ACME-2022-67,OSM-22-13,57.16297,-111.58554,LU13_16,Broadleaf,"Camera along game trail. Flat, mossy ground, mixed forest stand. ",Flat,0,276,1,N,2,5,"Drive into For McKay Industrial Park. Drive straight in from road, past the first stop sign, and then turn right at the end of the road (at next stop sign). Drive all the way to the end of the road (heading south), past the Ford and bus depot, until you see the junk yard. Park and walk in along a quad trail. Enter the forest stand and follow game trail to camera. "
OSM_LU13,18-Sep-22,13:39,LG AB,LU13_21,LU13_21,ACME-2022-99,OSM-22-18,57.19368,-111.58622,LU13_21,Broadleaf,Slightly uphill facing trail in conifer and labrador tea. ,Slope,5,269,1,W,3,5,We parked on a worker lodge pad and tracked down the loadge manager to ask permission to park on the property. We parked on the west side near the saftey office and walked in through cut line. Be VERY bear aware here. 
OSM_LU13,18-Sep-22,12:24,LG AB,LU13_37,LU13_37,ACME-2022-60,OSM-22-64,57.11808,-111.37926,LU13_37,Conifer,Camera along game trail. Mossy understory with lots of labrador tea and horsetail. Dominate coniferous forest stand. ,Flat,0,344,1,NE,2,4,"Parked along main road. Walk up cutline (in the adjacent cell). Enter the forst stand on the left until you enter the LU13-37 cell, follow game trail to camera. "
OSM_LU13,18-Sep-22,11:47,LG AB,LU13_55,LU13_55,ACME-2022-63,OSM-22-101,57.11781,-111.30484,LU13_55,Conifer,Short trees and a lot of labrador tea/mossy underbrush. Semi-well used trail off of an old cut block.,Flat,0,368,1,N,1,12,Nice pull out on side of the road. You can walk into a weird cut block and then whack into the bush. Bring boots (boggy)!
OSM_LU13,18-Sep-22,11:01,LG AB,LU13_47,LU13_47,ACME-2022-66,OSM-22-84,57.1871,-111.09103,LU13_47,Conifer,"Camera along cutline and game trail 4-way junction. Grassy and mossy understory with shrubs, dominate coniferous forest stand. ",Flat,0,499,1.5,NE,3,9,"Park along main road. Walk through shrubby patch to back road. Walk up backroad until you hit the cutline, follow cutline to 4-way junction and camera. "
OSM_LU13,16-Sep-22,10:24,LG AB,LU13_51,LU13_51,ACME-2022-103,OSM-22-112,57.08858,-111.25424,LU13_51,Conifer,"Camera along game trail. Mossy understory, lots of horsetail. Dominate coniferous forest stand. ",Flat,0,396,1,N,3,5,"Park along main road (in pull out). Walk through clear shrubby area, enter forest stand, follow game trail to camera. "
OSM_LU13,16-Sep-22,9:47,LG AB,LU13_27,LU13_27,ACME-2022-105,OSM-22-11,57.09715,-111.24763,LU13_27,Broadleaf,"Pretty sick site. Open/mossy, mixed conifer. Big old day bed of some mountain beast on the trail. ",Flat,0,403,1,N,3,12,Drive and park along main road. Bushwhack in. 
OSM_LU13,16-Sep-22,9:01,LG AB,LU13_05,LU13_05,ACME-2022-86,OSM-22-38,57.1115,-111.21362,LU13_05,Mixed,"Camera along game trail. Mossy understory, mixed forest stand. ",Flat,0,433,1,NW,2,5.5,"Park along main road, cross shrubby area, enter forest stand, follow game trail to camera. "
OSM_LU13,16-Sep-22,11:03,LG AB,LU13_26,LU13_26,ACME-2022-104,OSM-22-118,57.08022,-111.27681,LU13_26,Broadleaf,"Pretty dense underbrush, had to do lots of clearing. ",Flat,0,393,3,W,2,6,"Drive, walk, live, laugh, love. Actually, just have to drive to the point on the road and bushwhack in. "
OSM_LU13,16-Sep-22,14:05,LG AB,LU13_35,LU13_35,ACME-2022-120,OSM-22-98,57.11565,-111.43315,LU13_35,Conifer,"Camera along heavily-used game trail. Very open area, with lots of lichen ground cover and cranberry. Dominate coniferous forest stand. ",Flat,0,338,1,W,3,5,"Park along main road. Walk in along cut line, enter forest stand, follow game trail in. "
OSM_LU13,16-Sep-22,13:12,LG AB,LU13_13,LU13_13,ACME-2022-102,OSM-22-89,57.07174,-111.30007,LU13_13,Broadleaf,"Very mossy! Open clearing along cutline. Aspen. Couldn't find a ""great"" trail, but some sign of animal movement here. Not all trails can be great. ",Flat,0,378,1,N,1,7,Can walk down a nice cutline to get here. 
OSM_LU13,16-Sep-22,13:54,RS NB,LU13_128,LU13_128,ACME-2022-96,OSM-22-09,57.06321,-111.3068,LU13_128,Mixed,"Camera on aspen on seismic line, not too far from cutline intersection and cleared area. Mixed conifer and aspen. Decent game trail or seismic line. ",Flat,0,381,2,NE,3,7,REPLACEMENT FOR CELL LU13_28. Walk across clearing by road (wasn't wet) and follow seismic line. Just past large cutline interaction on aspen. 
OSM_LU13,16-Sep-22,13:07,RS NB,LU13_131,LU13_131,ACME-2022-61,OSM-22-25,57.06533,-111.3223,LU13_131,Mixed,Game trail in mixed forest stand adjacent to river. Mossy understory with mixed plants. ,Flat,0,374,1.5,NE,1,6,"REPLACEMENT FOR CELL LU13_31 because only accessible via mine. Park roadside, follow cutline to shrubs at riverbank, turn into forest and follow game trial on east side of cutline. "
OSM_LU13,16-Sep-22,11:48,RS NB,LU13_12,LU13_12,ACME-2022-62,OSM-22-74,57.05774,-111.31858,LU13_12,Broadleaf,Spruce forest. Camera on seismic line with a well used game trail. Some rose and labrador tea. Not wet but mossy. ,Flat,0,367,1,W,3,5,"Walk south down line that starts outside north part of cell, then turn left down other seismic line. Easy walk. "
OSM_LU13,16-Sep-22,10:51,RS NB,LU13_33,LU13_33,ACME-2022-64,OSM-22-16,57.0561,-111.33517,LU13_33,Conifer,"Game trail in wet mixed forest - black spruce, larch, and small deciduous trees. Grassy and mossy understory. ",Flat,0,363,1,NE,1,4.5,Park roadside and walk into forest (not great). 
OSM_LU13,16-Sep-22,9:53,RS NB,LU13_32,LU13_32,ACME-2022-65,OSM-22-63,57.04958,-111.34759,LU13_32,Conifer,Spruce/pine stand with moss/labrador tea. Not really wet. Camera in small opening in forest. ,Flat,0,363,1,NE,2,4,"Park in shoulder of road close to km 11-12, walk in to spot that's slightly more upland-looking. Bushwhack to camera. "
OSM_LU13,16-Sep-22,9:16,RS NB,LU13_30,LU13_30,ACME-2022-97,OSM-22-116,57.04375,-111.36054,LU13_30,Conifer,"Pointing down game trail on the side of a wide cutline. Cutline is grassy. Forest on either side is spruce, larch mix with labrador tea understory. ",Flat,0,352,0.5,N,3,3,Park roadside and walk down cutline to camera site. 
OSM_LU13,15-Sep-22,15:59,LG AB,LU13_53,LU13_53,ACME-2022-85,OSM-22-114,57.11683,-111.2645,LU13_53,Conifer,"Labrador tea and mossy area, pretty open.",Flat,0,384,1,N,3,6,"Park on road, walk in. "
OSM_LU13,15-Sep-22,9:41,LG AB,LU13_22,LU13_22,ACME-2022-87,OSM-22-110,57.17485,-111.12086,LU13_22,Broadleaf,Camera along game trail. Shrubby understory. Mixed forest stand. ,Flat,0,488,2,W,2,4.5,"Park along main road, in a pullout with cement barriers. Walk in along cutline until you reach forest stand, follow game trail in. "
OSM_LU13,15-Sep-22,NA,LG AB,LU13_19,LU13_19,ACME-2022-56,OSM-22-53,57.16334,-111.13,LU13_19,Broadleaf,Mossy clearing with moderately used game trail. ,Flat,0,441,1,N,2,6,"Park near powerlines, bushwhack into stand of trees. No real trail until you reach camera. "
OSM_LU13,15-Sep-22,11:04,LG AB,LU13_45,LU13_45,ACME-2022-89,OSM-22-86,57.1554,-111.14605,LU13_45,Conifer,Camera along game trail. Mossy understory with lots of labrador tea. Dominate coniferous forest stand. ,Flat,0,429,1.5,W,2,4.5,Park along main road. Enter forest stand and follow game trail in.
OSM_LU13,15-Sep-22,12:38,LG AB,LU13_08,LU13_08,ACME-2022-119,OSM-22-69,57.14077,-111.17169,LU13_08,Mixed,"Camera along game trail. Mossy understory, with lots of horsetail and wild rose. Dominate coniferous forest stand. ",Flat,0,426,1,N,2,4,"Park along main road. Enter forest stand, go past lots of dead fall unitl you find game trail, follow to camera. "
