Array,Deploy Date,Deploy Time,Crew,Grid Cell #,Site,Camera Unit #,SD Card #,Lat,Long,GPS Label,Ecosite,Camera Site Description,Topography,Grade (%),Elevation (m),Distance to Trail (m),Camera Direction,Trail Use Rating,Distance to Lure,Comments and Access Notes
OSM_LU09,15-Sep-23,11:23,AB SM,LU09_05,LU09_05,ACME-2022-14,OSM-23-019,55.90594,-113.6983,LU09-05,Conifer,"Mossy bog in black spruce. Started out nice, but turned into garbage with small trees. Found small game trail, no other real options.",Flat,0%,562,1,N,1,6,"No great instructions, just park on side of raod and bash in. ***BUGS. Checked that it was not a residential area."
OSM_LU09,15-Sep-23,12:17,AB SM,LU09_06,LU09_06,ACME-2022-36,OSM-23-020,55.9047,-113.66641,LU09-06,Mixed,"Mixed wood, mainly aspen, thick green understory with lots of shrubs, some mosses. Solid ground, dry. Camera pointed at thick trail but also intersection with another smaller trail. ",Flat,0%,560,0.2,N,2,7,Park on road (not very busy) and walk in. Thick interstory but fairly easy to walk. 
OSM_LU09,16-Sep-23,14:42,RS EA,LU09_07,LU09_07,ACME M126,OSM-23-126,55.92035,-113.66419,LU09-7,Conifer,"Along game trail in aspen dominated mixed stand, shrubby understory",Flat,0%,577,1,N,1,4,"Park roadside and bushwack to site, on NE side of highway"
OSM_LU09,15-Sep-23,10:28,AB SM,LU09_08,LU09_08,ACME-2022-20,OSM-23-018,55.91551,-113.64588,LU09-08,Broadleaf,"Mixed wood with conifer, but mainly aspen. Thick with lots of small shrubs inbetween the spaced out trees, little moss, dry soild ground, not many well defined trailsin area but camera is on good defined trail. ",Flat,0%,579,1,SW,2,6,Park on highway and walk in. Fairly thick shrubs/understory but soild ground. Hwy shoulders were hard but very sloped. 
OSM_LU09,13-Sep-23,15:55,SM AB,LU09_100,LU09_100,ACME-2023-26,OSM-23-004,56.09786,-113.39996,LU09-100,Mixed,"Mossy with labrador tea, dry, conifer forest with spruce and larch",Flat,0%,621,1,E,1,4,Park at well site and bushwack in. 
OSM_LU09,14-Sep-23,14:24,RS EA,LU09_102,LU09_102,ACME-2023-19,OSM-23-100,56.10159,-113.78246,LU09-102,Broadleaf,"Mixed forest with horse tail understory, camera along game trail off seismic line. ",Flat,0%,620,1,NW,2,4.5,"Park along road near seimic line, walk ~500m on seismic line until game trail on right side. "
OSM_LU09,13-Sep-23,14:42,AB SM,LU09_106,LU09_106,ACME-2023-33,OSM-23-003,56.11124,-113.39658,LU09-106,Mixed,Dry mossy mixed wood (black spruce and some aspen),Flat,0%,626,0.5,E,2,4,"Drive to north end of cell and end at well pad before break in road. Camera directly south in big stand of trees. Cross wet young stand, bring boots. From east side (road does not connect) "
OSM_LU09,13-Sep-23,14:11,AB SM,LU09_112,LU09_112,ACME-2023-12,OSM-23-002,56.13584,-113.29684,LU09-112,Mixed,"Conifer dominant (black spruce? And larches) forest with some small deciduous shrubs, wet mossy understory with some labrador tea",Flat,0%,624,1,W,1,5,Park on SE side of road and bushwack in. Dry spots to walk on with wet deep holes. Camera on game trail but not a very well defined trail. 
OSM_LU09,13-Sep-23,13:05,RS AB SM EA,LU09_113,LU09_113,ACME-2023-46,OSM-23-01,56.12781,-113.26157,LU09-113,Mixed,"Bog with mossy understory and labrador tea, and black sprue sparse forest along a well defined game trail",Flat,0%,624,1,N,3,4,"Park roadside beside rectangular cutblock feature, walk to back and follow game trail. N side of road. "
OSM_LU09,15-Sep-23,9:41,AB SM,LU09_12,LU09_12,ACME-2023-10,OSM-23-017,55.9281,-113.67606,LU09-12,Broadleaf,Mixed forest (aspen and spruce) with open understory. Fairly dry. Camera pointed at intersection of multiple trails,Flat,0%,575,1,NE,3,6,"Park on main highway a but south of point to avoid bog, no clear path in, but the forest is easy walking so just bash to camera site."
