buffer,site,water_area_mn,natural_area_mn,anthropogenic_area_mn,water_cohesion,natural_cohesion,anthropogenic_cohesion,water_core_mn,natural_core_mn,anthropogenic_core_mn,water_ed,natural_ed,anthropogenic_ed,water_lpi,natural_lpi,anthropogenic_lpi,water_np,natural_np,anthropogenic_np,water_pd,natural_pd,anthropogenic_pd,water_split,natural_split,anthropogenic_split,water_tca,natural_tca,anthropogenic_tca,landscape_split
250,LU3_14,NA,1.4725000000000001,3.8725,NA,97.0772705463763,98.55917951191779,NA,0.5759090909090909,0.575,NA,260.58794220229197,260.58794220229197,NA,12.979571499750872,19.294967613353265,NA,11,1,NA,54.808171400099646,4.9825610363726955,NA,13.910603101313622,26.8603638991565,NA,6.335,0.575,9.164459144511103
500,LU3_14,NA,2.427596153846154,16.2925,NA,97.6315240497925,99.31853769840977,NA,1.0778846153846153,4.4975,NA,232.27553204886036,232.27553204886036,NA,6.296436217101122,20.516937413424003,NA,26,1,NA,32.741468328925826,1.2592872434202242,NA,28.536862977722954,23.756088401272677,NA,28.025,4.4975,12.963969745759883
750,LU3_14,NA,3.8703947368421052,7.7299999999999995,NA,98.11605981544264,99.45029603580964,NA,1.8619078947368422,1.8712499999999999,NA,224.86586701873648,224.86586701873648,NA,7.775499311778421,17.056658894912776,NA,38,4,NA,21.348914295345374,2.2472541363521445,NA,35.261752474778916,34.366188876241864,NA,70.7525,7.484999999999999,17.40410562401003
1000,LU3_14,0.2925,5.3765,11.68125,91.01104912360687,98.39700756553572,99.52907500974784,0.0125,2.7753,2.420625,0.5065816031724673,213.98323531507,213.4766537118975,0.09260944932996666,6.77790354369662,14.571344895003048,1,50,4,0.31661350198279203,15.8306750991396,1.2664540079311681,1165975.4232595519,41.89998220574083,47.09310385033799,0.0125,138.76500000000001,9.6825,22.172089749657555
1250,LU3_14,7.18,5.5837,13.389499999999998,98.35552341534135,98.51322449227804,99.59399840347827,5.31,2.9395333333333333,2.7064999999999997,1.734614175145312,212.36343717349183,210.62882299834652,1.4566701494202736,6.6914516996175735,13.3722522595632,1,75,5,0.20287885089418853,15.21591381706414,1.0143942544709426,4712.784254952243,51.86234685456035,55.91882247064958,5.31,220.465,13.532499999999999,26.754373569806887
1500,LU3_14,5.108333333333333,5.764014423076923,31.471666666666668,98.40868364899899,98.55002748862421,99.67054486303692,3.8391666666666664,3.100048076923077,6.740833333333334,3.5462617959031157,208.5878757327825,205.78893749625456,1.9550266322145806,5.724075451478608,13.256532912200058,3,104,3,0.42301333549540143,14.66446229717392,0.42301333549540143,2601.917168989551,66.86386744247835,56.90262839118682,11.5175,322.40500000000003,20.2225,30.38223280273708
1750,LU3_14,5.115833333333334,6.150055555555555,23.8205,98.38580187227286,98.56376324004417,99.69912568364082,3.8391666666666664,3.446814814814815,4.856,2.695117431967721,202.63136753886542,200.5582002835056,1.4395555129404511,5.337628244830687,12.283775133913649,3,135,5,0.3109750883039678,13.99387897367855,0.5182918138399463,4798.988856844928,74.97945468426573,66.2720219701775,11.5175,465.32,24.28,34.92267853274459
2000,LU3_14,3.4235,6.481167664670659,8.006625,97.97504943049667,98.65741347782301,99.71859486437225,2.4105,3.6818562874251497,1.8001250000000002,2.826282842637176,201.9045653200805,200.18974202230063,1.102528173514713,7.3380146950829825,12.109947165976635,5,167,20,0.39694983744904155,13.258124570797989,1.5877993497961662,8102.240335507117,72.38342666885556,68.14892418719795,12.0525,614.87,36.002500000000005,34.94977705740674
2250,LU3_14,2.6092857142857144,6.0388596491228075,9.456428571428571,97.68087365457312,98.7235211744862,99.75543881638667,1.762857142857143,3.455921052631579,2.1176190476190477,2.5820255880931913,202.76273600592327,201.34779853298278,0.871394419310916,8.984852953172158,12.153716799166723,7,228,21,0.43922671000370206,14.306241411549154,1.317680130011106,12916.95173278168,65.3327326010906,67.69462839765764,12.34,787.95,44.47,33.16100480017852
2500,LU3_14,2.249444444444445,6.212536363636364,6.4395945945945945,97.42132392901635,98.79591481171111,99.7730925987609,1.4672222222222222,3.566490909090909,1.3421621621621622,2.4860730341148702,204.95867348430252,203.44872728566835,0.7060396576946885,9.681576749878937,11.785333440097206,9,275,37,0.45755945413157123,13.9809833206869,1.8810777558742373,19462.932717051262,62.03522520055453,71.99310697577182,13.205,980.785,49.66,33.26517057600869
2750,LU3_14,2.66325,5.930280172413793,4.900423728813559,97.49650079892702,98.81027853529098,99.79336088560149,1.73175,3.4017385057471263,1.0105508474576272,2.6812411877310103,207.78778690436417,206.03951678822608,0.5836322412948967,9.579553644785973,11.810068943200132,10,348,59,0.42025723945627125,14.624951933078236,2.479517712792,25514.06564868507,66.32987375445572,71.69189698821334,17.3175,1183.805,59.6225,34.406903261159336
3000,LU3_14,3.831590909090909,5.8792409638554215,3.796440217391304,97.93754656967212,98.91158079308514,99.80638059895377,2.734090909090909,3.390909638554217,0.8489402173913044,2.832616055140651,205.91211473154607,203.86358940488574,0.49049819782750365,9.63142437851097,11.859283969759527,11,415,92,0.388513424021785,14.657551906276437,3.249385000909475,20151.16001433041,65.62640499483075,71.09696788665843,30.075,1407.2275,78.1025,34.06842620420045
3250,LU3_14,4.034423076923077,5.904705578512397,3.0976315789473685,98.0135541712364,98.99025581097348,99.81704046936322,2.888076923076923,3.4515960743801655,0.7694360902255639,3.052093272451999,202.54280906959315,200.15892556684958,0.48114113372924266,9.318742080058755,11.844921154257129,13,484,133,0.3912940092887178,14.568176961210725,4.003238710415344,18960.13958923818,65.99556315654839,71.26621731959742,37.545,1670.5725,102.33500000000001,34.203036861183335
3500,LU3_14,4.1207142857142856,5.826870598591549,2.757428977272727,97.99426903382734,99.07408151289864,99.831092431422,2.9217857142857144,3.451716549295775,0.7271306818181819,2.8331075153270726,199.0819330021336,196.8250507441612,0.41490814138802806,9.089304532452903,11.968743673202411,14,568,176,0.36338529743086595,14.743060638623703,4.568272310559458,24347.17771599257,62.93433798537159,69.80330381768485,40.905,1960.575,127.975,33.05061959783227
3750,LU3_14,4.74765625,5.86429012345679,2.6774019607843136,98.23852876211406,99.16006954898775,99.83874317915478,3.52765625,3.511412037037037,0.6783700980392157,2.815332822653819,196.74540741766708,194.43208574893225,0.4832422684346354,8.756306939117016,11.676451549987704,16,648,204,0.3618098406623382,14.653298546824695,4.613075468444812,18759.41866404493,58.303582587643504,73.34216000401518,56.4425,2275.395,138.3875,32.42580661611018
4000,LU3_14,5.722031250000001,5.809852348993289,2.7156444444444445,98.43451846261866,99.19522823635933,99.84887779254808,4.4475,3.518214765100671,0.6712555555555556,2.6694958419571,193.95487399154723,191.73658854134314,0.7293905429680997,7.728717205874679,11.537817443654603,16,745,225,0.31803375630166497,14.808446777796275,4.472349697992163,13096.972201971992,60.496275419103725,75.11639248561141,71.16,2621.07,151.0325,33.42361030255229
4250,LU3_14,5.758823529411765,5.978128048780488,2.6943253968253966,98.46407621931817,99.22223087517878,99.8522866899094,4.4963235294117645,3.6652560975609756,0.6407837301587301,2.582350387880826,191.0683957467377,188.90337712969068,0.7446378590351888,6.846794337318528,11.229614355508557,17,820,252,0.29935190312972415,14.439327092139633,4.437451740511205,13580.25538850659,64.91045683221681,79.29419110196606,76.4375,3005.51,161.4775,35.59892121882297
4500,LU3_14,5.8975,6.315935354691075,2.551594827586207,98.42594706109796,99.28051065109088,99.85812254573283,4.521527777777778,3.9341762013729977,0.5979568965517241,2.574516060880472,186.79928277972337,184.60018425304085,0.6642455639077667,6.107603461695238,10.940750787944856,18,874,290,0.2827412391448963,13.72865794514663,4.555275519556662,16612.318790876372,64.39486226707301,83.53708568561272,81.3875,3438.47,173.4075,36.28431657544449
