array,site,buff_dist,buffer_area,harvest,pipeline,roads,seismic_lines,seismic_lines_3D,trails,transmission_lines,veg_edges,wells,lc_grassland,lc_water,lc_coniferous,lc_broadleaf,lc_mixed,lc_developed,lc_shrub,osm_industrial
LU09,LU09_5,250,196259.83591095,0,0,0.030723257026497,0,0,0,0,0.06874147353988602,0,0,0.019356227651557107,0.7317978240215862,0.0466881433896024,0,0.202157706836989,0,0
LU09,LU09_6,250,196259.835911033,0,0,0.029058140619541994,0,0,0,0,0.06596626171418862,0,0,0,0.029707095764424107,0.4688292983045642,0.3246534085935139,0.17681018475343807,0,0
LU09,LU09_7,250,196259.835910961,0,0,0.03932347540563118,0.008667732280297281,0,0,0,0.09146220281461934,1.696976433909402e-5,0,0,0.516076196431151,0.1729544788264421,0.0719496062085955,0.239019666603731,0,0
LU09,LU09_8,250,196259.835910984,0,0,0.030427253678456594,0.0012378306145361304,0,0,0,0.0680394582085413,0,0,0,0.060188803682011294,0.841515574103855,0,0.09829561352448163,0,0
LU09,LU09_100,250,196259.835910934,0,0.048022045836098794,0.0178250020389236,0,0,0,0,0.020776532165657214,0.08998121431997076,0.746807495743412,0,0.018936728842520605,0,0,0.234255725300344,0,0.06887963038375867
LU09,LU09_102,250,196259.83591098705,0,0,0,0.04366118492861271,0,0,0,0,0,0,0,0.262781623767397,0.14452916884196906,0.24995140590252307,0,0.3427378014905589,0
LU09,LU09_106,250,196259.83591099098,0,0.00721839827310143,0.01000696576176611,0.010476788493860103,0,0,0,0.01796445182353752,0.04401812736144101,0.9571364950328448,0,0,0,0,0.04286351464593911,0,0
LU09,LU09_112,250,196259.835910913,0,0.0189638421362452,0.02295869622782782,0.03762161872070293,0,0,0,0.022812042146723794,0,0.07743682544478103,0,0,0,0,0.171572856115807,0.750990292854915,0
LU09,LU09_113,250,196259.835910942,0,0.028959091952509508,0.0304115942343421,0,0,0,0,0.0369723049496717,0.0674311944279922,0,0,0.3318324346866348,0,0.4919982738077921,0.176169309214725,0,0
LU09,LU09_12,250,196259.835911004,0,0,0.0290921871421907,0.006342141406440022,0,0,0,0.06773011647748763,0,0,0,0,0.829527811327939,0,0.17047207342263104,0,0.146681597731459
LU09,LU09_13,250,196259.83591096805,0,0.013303363703076403,0,0.00314915034293973,0,0,0,0,0.007703426803287542,0,0,0.9996616563081946,0,0,3.3834676859141507e-4,0,0
LU09,LU09_18,250,196259.835911,0,0.03490310899973311,0.025474309946301708,0.012670399338067604,0,0,0,0.05915876293640702,0,0,0,0,0.847381390537813,0,0.152618521116255,0,0
LU09,LU09_21,250,196259.83591094398,0,0,0.0200560572026773,0.0194481331160309,0,0,0,0.09131914450397398,0,0,0,0.23409339495204506,0.6589597763188304,0,0.09919707919031755,0,0.023592269458080687
LU09,LU09_24,250,196259.835910931,0,0.09659561088018064,0.0305561833774737,0,0,0,0,0.09400578870557003,0,0.12662571900500494,0,0.17751332779300105,0.4614905733517811,0.0668859416426041,0.15866699769460701,0.00881748574260597,0.025505668630559808
LU09,LU09_28,250,196259.835910923,0,0.12430544208125806,0.02306688527092199,0.0102704551490718,0,0,0,0.0227712842802318,0,0,0,0.18557373975907895,0.630311198520697,0,0.184115111376842,0,0
LU09,LU09_29,250,196259.835911034,0,0.06462305722573222,0.022276132737366793,0.007133014379826538,0,0.006457629609175692,0,0.042906321840189214,0.0389069047187508,0.0923265153595847,0,0.298119146580809,0.343772700221834,0,0.265781528912759,0,0
LU09,LU09_30,250,196259.835910888,0.012662921089414999,0.03959066963820472,0.03222780552390485,0.007985046421707926,0,0,0,0.05082999373946411,0.06054828281488878,0,0,0.0828940112754673,0.7374077743966758,0,0.1796982074463271,0,0.16596720726676856
LU09,LU09_31,250,196259.83591099,0,0.03362522564169601,0.028756751795876095,0.0216590267976199,0,0,0,0.04602493315896339,0.0509529231758996,0,0,0.047106713796988414,0.5396399133371432,0.19068079000924695,0.22257258421727,0,0.0143977329892692
LU09,LU09_32,250,196259.835911,0,0.0174212603517904,0.048202756506698606,0,0,0,0,0.03289257028411872,0.05091898238390021,0,0,0.0222458173225462,0.889112682594109,0,0.08864149998232566,0,0.04248402993143468
LU09,LU09_33,250,196259.83591104098,0,0.0295662843260012,0.0307441550236468,0.012367235036692,0,0,0,0.046837816760371714,0,0,0,0,0.7525466899558848,0.10672788207169803,0.14072542909022606,0,0.1785980247190035
LU09,LU09_39,250,196259.83591086,0,0.0924316554363976,0.011614299117573003,0,0,0,0,0.0169693034354234,0.048499757935417415,0.180369979796264,0,0.7038232452414378,0,0,0.11580673942114703,0,1.1846022216867513e-4
LU09,LU09_41,250,196259.83591099898,0.23599250701449306,0.133038765036079,0.019853521444913896,0.006458406416430003,0,0.00226587341441303,0,0.019767791676187897,0.0275499944915521,0.03947137083318871,0,0.314901336170544,0.3208799718538232,0.15093926902460006,0.17380800787117506,0,0.013954576170899503
LU09,LU09_44,250,196259.835910956,0,0,0.004111281104481441,0,0,0,0,0.007190062198880787,0.04992684345060969,0,0,0.951248026895901,0,0,0.0487519312118444,0,0
LU09,LU09_51,250,196259.835910889,0,0.03351881699510842,0.020510879226288494,0,0,0,0,0.0120344124054793,0.0372101414048476,0.006710535193047437,0,0.3503867828906092,0,0.2129992307037041,0.14860674067049406,0.281296828320196,0.0651597571791225
LU09,LU09_55,250,196259.835911002,0,0.04372329974418974,0.026335029895563408,0,0,0,0,0.026461403700012,0.0520063600658721,0,0,0.4675291812481241,0.27901013803569,0,0.2534606191291971,0,0.09806800144006993
LU09,LU09_57,250,196259.835911029,0,0.037145321623076114,0.012254634646270999,0.010532400038252303,0,0,0,0.0125087618574654,0.03921161930809892,0,0,0.4913844124376201,0.07821593840451063,0,0.09989650815864617,0.3305031619028831,0.01987996835074689
LU09,LU09_62,250,196259.835910901,0,0.103668834954161,0.0351858386585045,0.013133880394610404,0,0,0,0.036107297129902016,0.0421923909874971,0,0,0.6697256219362697,0,0,0.3302744836844771,0,0
LU09,LU09_63,250,196259.835911001,0,0,0.0323360435014586,0,0,0,0,0.07909412229724072,0,0,0,0.738753860980549,0.0897689330029844,0,0.138552606334591,0.0329246313366759,0.05372697064930842
LU09,LU09_64,250,196259.835910951,0,0.038067447382848785,0.022529006519451694,0.010192836515059703,0,0,0,0.0374482055985651,0,0.2615719458558921,0,0.6228193763892732,0,0,0.11560852099169702,0,0.1277392701390149
LU09,LU09_65,250,196259.835910948,0,0.05505495398772458,0.00338749531007567,0.014696357275168803,0,0,0,0.00566563514719263,0.04444049423737489,0,0,0.9440781973118462,0,0,0.0559218107140996,0,0
LU09,LU09_67,250,196259.835910928,0,0.09407024465542732,0.008188979242790337,0,0,0,0,0.00891743459222736,0.06262559367187732,0.303296897004505,0,0.61850448717555,0,0,0.07819855925873644,0,0
LU09,LU09_68,250,196259.835910916,0,0.031849722066213,0.02356998595233801,0,0,0,0,0.029705119010388296,0.009993809624294825,0,0,0.4242055970891171,0.49837720762849,0.07741719527848302,0,0,0.08146353425274193
LU09,LU09_72,250,196259.835910964,0,0,0.026324359771148206,0,0,0,0,0.08351969358089648,0,0,0,0.15881677848295606,0.5153653187376818,0.17274877472826305,0.15306907463757505,0,0
LU09,LU09_73,250,196259.83591089098,0,0.05627690100911941,0.017335848489818693,0,0,0,0,0.028935785547853008,0,0.17543073716347207,0,0.163053844986353,0,0.5051828468750328,0.1560644423021871,2.68146965420261e-4,0.0272916623598647
LU09,LU09_75,250,196259.83591091706,0,0.0441580609572994,0,0,0,0,0,0,0.06947428115149817,0.627958297490057,0,0.24999355008995605,0,0,7.284497544578975e-4,0.121319691410635,0
LU09,LU09_76,250,196259.83591092398,0,0.0576489530119621,0.0055084213347593395,0.00406081787414598,0,0,0,0.00973231016173511,0.06651779758298078,0.00229935931491953,0,0.5577012102583846,0.329166356929396,0,0.110833084846142,0,0.056788655072452295
LU09,LU09_77,250,196259.835910923,0,0.17393514214770112,0.017389911243176,0,0,0,0,0.0206130307562691,0.07712972730158188,0,0,0.139843389368787,0.14203410930292606,0.033488972409442486,0.112607450513413,0.57202604963091,0
LU09,LU09_79,250,196259.835910959,0,0,0.0266002000380979,0.013329709266858603,0,0,0,0.06760511912581962,0,0,0,0.7133411905166158,0.14916028812665205,0,0.13749854475818205,0,0.04661377137035867
LU09,LU09_80,250,196259.835910942,0,0,0.028517474936861607,0.0143487488938583,0,0,0,0.0598900108009128,0,0,0,0.7524603667847226,0.005365496054596433,0,0.242174081455051,0,0.05778427684207558
