array,site,start_date,end_date,camera_failure_details
LU3,LU3_14,2021-07-08,2022-02-03,NA
LU3,LU3_19,2021-07-08,2022-06-11,NA
LU3,LU3_20,2021-07-08,2022-02-03,NA
LU3,LU3_21,2021-07-08,2022-02-03,NA
LU3,LU3_25,2021-07-08,2022-02-03,NA
LU3,LU3_32,2021-07-08,2022-02-03,NA
LU3,LU3_45,2021-07-08,2022-02-03,NA
LU3,LU3_48,2021-07-08,2022-06-12,NA
LU3,LU3_49,2021-07-08,2022-02-03,NA
LU3,LU3_50,2021-07-08,2022-02-03,NA
LU3,LU3_7,2021-07-09,2022-06-11,NA
LU3,LU3_46,2021-07-09,2022-02-02,NA
LU3,LU3_38,2021-07-09,2022-02-02,NA
LU3,LU3_10,2021-07-09,2022-02-02,NA
LU3,LU3_52,2021-07-09,2022-02-02,NA
LU3,LU3_28,2021-07-09,2022-02-02,NA
LU3,LU3_126,2021-07-09,2022-06-11,NA
LU3,LU3_129,2021-07-09,2022-02-02,NA
LU3,LU3_51,2021-07-09,2022-02-02,NA
LU3,LU3_147,2021-07-09,2022-02-02,NA
LU3,LU3_39,2021-07-10,2022-02-04,NA
LU3,LU3_40,2021-07-10,2022-02-04,NA
LU3,LU3_41,2021-07-10,2022-02-04,NA
LU3,LU3_36,2021-07-10,2022-02-04,NA
LU3,LU3_17,2021-07-10,2022-06-11,NA
LU3,LU3_15,2021-07-10,2022-06-11,NA
LU3,LU3_44,2021-07-10,2022-06-11,NA
LU3,LU3_27,2021-07-10,2022-02-03,NA
LU3,LU3_13,2021-07-11,2022-06-12,NA
LU3,LU3_18,2021-07-11,2022-06-12,NA
LU3,LU3_137,2021-07-11,2022-02-03,NA
LU3,LU3_111,2021-07-11,2022-02-04,NA
LU3,LU3_131,2021-07-11,2022-06-12,NA
LU3,LU3_103,2021-07-11,2022-06-12,NA
LU3,LU3_102,2021-07-11,2022-06-12,NA
LU3,LU3_5,2021-07-11,2022-06-12,NA
LU3,LU3_106,2021-07-11,NA,"CAMERA NOT RETRIEVED. Camera site is now a cutblock, camera was cut down."
LU2,LU2_15,2021-07-12,2022-02-06,NA
LU2,LU2_106,2021-07-12,2022-02-05,NA
LU2,LU2_34,2021-07-12,2022-02-06,NA
LU2,LU2_101,2021-07-12,2022-02-06,NA
LU2,LU2_5,2021-07-12,2022-02-06,NA
LU2,LU2_36,2021-07-12,2022-02-06,NA
LU2,LU2_24,2021-07-12,2022-09-10,NA
LU2,LU2_13,2021-07-12,2022-02-06,NA
LU2,LU2_32,2021-07-12,2022-02-06,NA
LU2,LU2_51,2021-07-13,2022-09-10,NA
LU2,LU2_153,2021-07-13,2022-09-10,NA
LU2,LU2_50,2021-07-13,2022-09-10,NA
LU2,LU2_46,2021-07-13,2022-09-10,NA
LU2,LU2_25,2021-07-13,2022-09-09,NA
LU2,LU2_26,2021-07-13,2022-09-09,NA
LU2,LU2_44,2021-07-13,2022-09-09,NA
LU2,LU2_143,2021-07-13,2022-09-09,NA
LU2,LU2_42,2021-07-13,2022-09-10,NA
LU2,LU2_18,2021-07-13,2022-09-10,NA
LU2,LU2_110,2021-07-13,2022-09-10,NA
LU2,LU2_47,2021-07-14,2022-09-09,NA
LU2,LU2_39,2021-07-14,2022-09-09,NA
LU2,LU2_17,2021-07-14,2022-09-09,NA
LU2,LU2_38,2021-07-14,2022-09-09,NA
LU2,LU2_40,2021-07-14,2022-09-09,NA
LU2,LU2_57,2021-07-14,2022-09-10,NA
LU2,LU2_56,2021-07-14,2022-09-10,NA
LU2,LU2_27,2021-07-14,2022-02-05,NA
LU2,LU2_52,2021-07-14,2022-09-09,NA
LU2,LU2_54,2021-07-14,2022-09-09,NA
LU2,LU2_155,2021-07-14,2022-09-09,NA
LU2,LU2_100,2021-07-15,2022-02-05,NA
LU2,LU2_20,2021-07-15,2022-09-09,NA
LU2,LU2_21,2021-07-15,2022-09-09,NA
LU2,LU2_137,2021-07-14,2022-09-09,NA
LU2,LU2_123,2021-07-15,2022-02-05,NA
LU2,LU2_119,2021-07-15,2022-09-10,NA
LU2,LU2_30,2021-07-15,2022-02-06,NA
LU2,LU2_31,2021-07-15,2022-02-06,NA
LU2,LU2_3,2021-07-15,2022-02-06,NA
LU2,LU2_33,2021-07-15,2022-02-06,NA
LU2,LU2_29,2021-07-15,2022-02-06,NA
