buffer,site,water_cai_mn,natural_cai_mn,anthropogenic_cai_mn,water_ed,natural_ed,anthropogenic_ed,water_tca,natural_tca,anthropogenic_tca,landscape_cai_mn,landscape_ed,landscape_tca,natural_cohesion
50,LU3_14,NA,1.9449300699300696,0,NA,338.1924198250729,338.1924198250729,NA,0.02499999999999999,0,NA,NA,NA,94.81511413844115
100,LU3_14,NA,7.108100233100234,4.712041884816753,NA,292.16867469879514,292.16867469879514,NA,0.42,0.09,NA,NA,NA,95.4762759873375
250,LU3_14,NA,22.385672177427644,8.457069076823757,NA,260.58794220229197,260.58794220229197,NA,4.5575,0.3275,NA,NA,NA,97.0772705463763
500,LU3_14,NA,23.02254999219048,19.840417369955503,NA,232.27553204886036,232.27553204886036,NA,20.9075,3.2325,NA,NA,NA,97.6315240497925
750,LU3_14,NA,28.75277105296342,5.394930643597584,NA,224.86586701873648,224.86586701873648,NA,54.79,5.2325,NA,NA,NA,98.11605981544264
1000,LU3_14,0,34.39617524042443,4.547312618144461,0.5065816031724673,213.98323531507,213.4766537118975,0,110.2275,6.3625,NA,NA,NA,98.39700756553572
1250,LU3_14,68.03621169916435,31.428445219658087,3.721390684953729,1.734614175145312,212.36343717349183,210.62882299834652,4.885,176.9725,9.38,NA,NA,NA,98.51322449227804
1500,LU3_14,32.56238152654831,31.54831342556562,6.630688421079156,3.5462617959031157,208.5878757327825,205.78893749625456,10.705,261.64,14.58,NA,NA,NA,98.5500274886242
1750,LU3_14,32.521298081745115,32.65548589241689,3.8897223594385864,2.695117431967721,202.63136753886545,200.5582002835056,10.705,384.87,17.847499999999997,NA,NA,NA,98.56376324004415
2000,LU3_14,25.21045326765172,32.69298820510881,3.7850093653631087,2.826282842637176,201.9045653200805,200.18974202230063,11.0725,511.94,27.485,NA,NA,NA,98.657413477823
2250,LU3_14,21.116710317230226,30.807213813254307,1.6380463623937285,2.5820255880931913,202.76273600592327,201.3477985329828,11.2575,658.9575,34.48,NA,NA,NA,98.7235211744862
2500,LU3_14,22.821853313660732,30.75782979865159,1.1006684661164774,2.4860730341148702,204.95867348430252,203.44872728566835,11.93,822.475,38.067499999999995,NA,NA,NA,98.79591481171111
