"Site","BUFF_DIST","Feature_Area","Buffer_Area","CONVENTIONAL-SEISMIC","LOW-IMPACT-SEISMIC","TRAIL","HARVEST-AREA","WELL-ABAND","RUNWAY","WELL-OTHER","CLEARING-WELLPAD-UNCONFIRMED","CLEARING-UNKNOWN","VEGETATED-EDGE-ROADS","ROAD-GRAVEL-1L","TRUCK-TRAIL","ROAD-UNIMPROVED","ROAD-WINTER","ROAD-WINTER-ACCESS","BORROWPITS","SUMP","BORROWPIT-DRY"
"RICH01","250","0","196259.835910982","0.0350922867408508","0","0.00648730909388289","0","0.0135279035632919","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH02","250","0","196259.83591103","0.0101799076630477","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH03","250","0","196259.83591102","0.00926148111954","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH04","250","0","196259.835910912","0.0153198451090971","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH05","250","0","196259.835910912","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH06","250","0","196259.835910992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH07","250","0","196259.83591105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH08","250","0","196259.835910935","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH09","250","0","196259.835910939","0.0152873919173584","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH10","250","0","196259.835910844","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH11","250","0","196259.835910959","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH12","250","0","196259.835910984","0.0152694671062535","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH13","250","0","196259.835910939","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH14","250","0","196259.835911024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH15","250","0","196259.835910892","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH16","250","0","196259.83591084","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH17","250","0","196259.835910952","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH18","250","0","196259.835910914","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH19","250","0","196259.835910991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH20","250","0","196259.835910979","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH21","250","0","196259.83591096","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RICH22","250","0","196259.835910993","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
