Site,BUFF_DIST,LC_class20,LC_class33,LC_class34,LC_class50,LC_class110,LC_class120,LC_class210,LC_class220,LC_class230
CAM56,250,0,0,0.256188237,0.280894295,0,0,0.46291753,0,0
CAM57,250,0,0,0,0.195143122,0,0,0.144210391,0.660646529,0
CAM58,250,0,0,0,0.565858197,0,0,0.348958087,0.085183792,0
CAM59,250,0,0,0,0.403113703,0,0,0,0.596886297,0
CAM60,250,0.279142038,0,0,0.109545974,0,0,0,0.611311989,0
CAM61,250,0,0,0,0.536024692,0,0,0.280984874,0.182559251,0.000431238
CAM62,250,0,0,0,0.409194854,0,0,0.585938988,0,0.004866185
CAM63,250,0,0,0,0.003472734,0,0,0.281348648,0.715178661,0
CAM64,250,0,0,0.046858475,0.060995276,0,0,0.892146276,0,0
CAM65,250,0,0,0.095611459,0.148074864,0,0,0.170516153,0,0.585797495
CAM66,250,0,0,0,0,0,0,0.188388605,0.811611395,0
CAM67,250,0.167980865,0,0,0.122269536,0.514056844,0,0.131608737,0,0.064084017
CAM68,250,0,0,0,0.362581754,0,0,0,0.637418246,0
CAM69,250,0,0,0,0.621424293,0.105444326,0,0.273131381,0,0
CAM70,250,0,0,0,0.077092301,0.671304974,0,0.080642772,0,0.170959954
CAM71,250,0,0,0,0.160460891,0,0,0.156658906,0.682880203,0
CAM72,250,0,0,0,0,0,0,0.437455674,0.546487244,0.016057082
CAM73,250,0,0,0.157064014,0.650670719,0,0,0.191330396,0,0.000934835
CAM74,250,0,0,0.265302243,0.445129612,0.035290963,0,0.24766973,0.00660744,0
CAM1,250,0.190309475,0,0,0.043920192,0,0,0.271390213,0.49438012,0
CAM2,250,0,0,0.111886006,0,0.250056407,0,0.454447309,0.18361032,0
CAM3,250,0.197409076,0,0.203721024,0,0,0,0.061197272,0.537672595,0
CAM4,250,0.069124563,0,0.182913929,0,0,0,0,0.697574715,0.050386791
CAM5,250,0,0,0.240181223,0,0.015507037,0,0.101509299,0.642802485,0
CAM6,250,0.140698288,0,0.215609984,0,0,0,0.643691705,0,0
CAM7,250,0,0,0.23389156,0.09786047,0,0,0.205916605,0.376173829,0.08615759
CAM8,250,0,0,0,0,0,0,0.00177392,0.99822608,0
CAM9,250,0,0,0,0,0,0,0.713278122,0.286721878,0
CAM10,250,0.174874023,0,0,0,0,0,0.28003893,0.529386157,0.015700889
CAM11,250,0,0,0.145177837,0,0.02273243,0,0.259196199,0.572893507,0
CAM12,250,0,0,0.196350775,0,0,0,0.226990104,0.576659097,0
CAM13,250,0,0,0,0,0,0,0.791367106,0.208632894,0
CAM14,250,0,0,0.226657928,0,0,0,0.572737038,0.200605077,0
CAM15,250,0,0,0.08134049,0,0.035976878,0,0.882682647,0,0
CAM16,250,0,0,0.418721652,0.15918335,0.10292957,0,0.029561777,0.28960359,0
CAM17,250,0,0,0.152768855,0.84723097,0,0,1.22E-09,0,0
CAM18,250,0,0,0.110855119,0,0.44711025,0,0.203314139,0.238720524,0
CAM19,250,0,0,0.193255077,0,0.583579442,0,0.223165466,0,0
CAM20,250,0,0,0.330342747,0.031426575,0,0,0,0,0.63823062
CAM21,250,0,0,0,0.227221259,0,0,0.216936796,0.555841944,0
CAM22,250,0,0,0.198533994,0.005156564,0,0,0,0.796309437,0
CAM23,250,0,0,0,0.233528498,0,0,0,0.766471502,0
CAM24,250,0,0,0,0.326989295,0.450950343,0,0.222060362,0,0
CAM25,250,0,0,0,0.443686698,0,0,0,0.556313302,0
CAM26,250,0,0,0.185750851,0,0,0,0,0.814249161,0
CAM27,250,0,0,0.008373305,0,0,0,0,0.99162663,0
CAM28,250,0.955434888,0,0,0,0,0,0.044565112,0,0
CAM29,250,0.378998776,0,0,0,0.392576274,0,0.2075756,0,0.020849349
CAM30,250,0,0,0,0,0,0,0.290569769,0.259229065,0.450201166
CAM31,250,0.231926536,0,0,0.005597787,0,0,0.097800661,0.664675017,0
CAM32,250,0.037827211,0,0,0.076559235,0.138453006,0,0.193029316,0.554131231,0
CAM33,250,0,0,0,0,0,0,0.002313658,0.997686342,0
CAM35,250,0,0,0.133728429,0,0,0,0,0.866271627,0
CAM34,250,0.017466142,0,0,0.101784817,0.050604276,0,0.072063778,0.758080986,0
CAM36,250,0.044788557,0,0.196797842,0.316596203,0,0,0.206122853,0.235694541,0
CAM37,250,0,0,0,0,0,0,0.116723419,0.883276581,0
CAM38,250,0.218631415,0,0.190156952,0,0,0,0,0.59121161,0
CAM39,250,0,0,0.186720897,0,0,0,0.680137964,0,0.133141116
CAM40,250,0,0,0,0,0,0,0,1,0
CAM41,250,0,0,0.249555963,0,0.079005644,0,0.26227813,0.249513144,0.159647128
CAM42,250,0,0,0,0,0,0,1,0,0
CAM43,250,0,0,0,0,0,0,0.000670273,0.999329727,0
CAM44,250,0,0,0,0.076826741,0.38340829,0,0.029744597,0.510020372,0
CAM45,250,0,0,0.094245339,0,0,0,0.268963203,0.636791441,0
CAM46,250,0,0,0.108362328,0.088327033,0,0,0.088575671,0.138000207,0.576734718
CAM47,250,0,0,0,0,0,0,1,0,0
CAM48,250,0,0,0,0,0,0,0.32468359,0.67531641,0
CAM49,250,0.325284465,0,0,0.109016115,0,0,0.561800602,0,0.00389886
CAM50,250,0,0,0,0.019109828,0,0,0.73202764,0.248862531,0
CAM51,250,0,0,0.230775543,0,0,0,0.168943116,0.60028137,0
CAM52,250,0,0,0,0,0,0,0,0.959570746,0.040429254
CAM53,250,0,0,0,0,0,0,0.575913642,0.424086358,0
CAM54,250,0,0,0,0,0,0,0,1,0
