"","DataFrame","Lowest_Value"
"core_1000","core_1000","5224.6299429331"
"core_1250","core_1250","5263.37802126912"
"core_1500","core_1500","5300.87347505909"
"core_1750","core_1750","5331.18631070292"
"core_2000","core_2000","5338.63549914169"
"core_2250","core_2250","5339.49494346748"
"core_250","core_250","5218.93397277434"
"core_2500","core_2500","5340.48041679676"
"core_2750","core_2750","5342.66955564817"
"core_3000","core_3000","5341.45896059665"
"core_3250","core_3250","5344.00819159186"
"core_3500","core_3500","5344.07655097498"
"core_3750","core_3750","5341.6380835322"
"core_4000","core_4000","5339.43257078868"
"core_4250","core_4250","5336.11650773322"
"core_4500","core_4500","5333.41761673439"
"core_4750","core_4750","5332.86337665061"
"core_500","core_500","5236.10745389079"
"core_5000","core_5000","5330.04233871407"
"core_750","core_750","5201.6351600704"
"core_dataframes","core_dataframes",NA
