"","model_name","AIC","logLik"
"1","broadleaf_250",2553.0225547561,-1273.51127737805
"2","broadleaf_500",2558.27527516085,-1276.13763758042
"3","broadleaf_750",2564.38546491252,-1279.19273245626
"4","broadleaf_1000",2577.15597747057,-1285.57798873529
"5","broadleaf_1250",2583.75322172363,-1288.87661086182
"6","broadleaf_1500",2588.39121574228,-1291.19560787114
"7","broadleaf_1750",2591.7647289526,-1292.8823644763
"8","broadleaf_2000",2592.12393143315,-1293.06196571657
"9","broadleaf_2250",2592.15237804661,-1293.0761890233
"10","broadleaf_2500",2592.10856140947,-1293.05428070473
"11","broadleaf_2750",2592.03729798307,-1293.01864899154
"12","broadleaf_3000",2591.57179107648,-1292.78589553824
"13","broadleaf_3250",2591.93789514448,-1292.96894757224
"14","broadleaf_3500",2592.24293201869,-1293.12146600935
"15","broadleaf_3750",2592.2649163421,-1293.13245817105
"16","broadleaf_4000",2592.2287428347,-1293.11437141735
"17","broadleaf_4250",2592.22459529284,-1293.11229764642
"18","broadleaf_4500",2592.16800268311,-1293.08400134156
"19","broadleaf_4750",2592.01084002079,-1293.0054200104
"20","broadleaf_5000",2591.80195603695,-1292.90097801847
