"","model_name","AIC","logLik"
"1","coniferous_250",2591.02783358734,-1292.51391679367
"2","coniferous_500",2591.13648795656,-1292.56824397828
"3","coniferous_750",2591.0969278965,-1292.54846394825
"4","coniferous_1000",2592.21556498614,-1293.10778249307
"5","coniferous_1250",2592.25463990162,-1293.12731995081
"6","coniferous_1500",2592.18105095327,-1293.09052547664
"7","coniferous_1750",2591.85932408717,-1292.92966204359
"8","coniferous_2000",2592.15622294889,-1293.07811147445
"9","coniferous_2250",2592.16512126389,-1293.08256063195
"10","coniferous_2500",2592.16205035816,-1293.08102517908
"11","coniferous_2750",2592.22456489943,-1293.11228244972
"12","coniferous_3000",2592.261902404,-1293.130951202
"13","coniferous_3250",2592.15911736683,-1293.07955868342
"14","coniferous_3500",2592.15240056586,-1293.07620028293
"15","coniferous_3750",2592.07052673747,-1293.03526336873
"16","coniferous_4000",2591.95337195451,-1292.97668597725
"17","coniferous_4250",2591.95473287896,-1292.97736643948
"18","coniferous_4500",2591.87847337942,-1292.93923668971
"19","coniferous_4750",2591.67174853429,-1292.83587426714
"20","coniferous_5000",2591.7187403628,-1292.8593701814
