"","model_name","AIC","logLik"
"1","mixed_250",2587.09398242925,-1290.54699121462
"2","mixed_500",2588.71298723842,-1291.35649361921
"3","mixed_750",2586.49988565981,-1290.2499428299
"4","mixed_1000",2584.22382549328,-1289.11191274664
"5","mixed_1250",2589.23398049191,-1291.61699024595
"6","mixed_1500",2591.79949303719,-1292.89974651859
"7","mixed_1750",2592.26494947365,-1293.13247473683
"8","mixed_2000",2591.92021164055,-1292.96010582028
"9","mixed_2250",2591.53405875282,-1292.76702937641
"10","mixed_2500",2591.56920468857,-1292.78460234429
"11","mixed_2750",2590.933995257,-1292.4669976285
"12","mixed_3000",2590.37047186815,-1292.18523593408
"13","mixed_3250",2589.19208358504,-1291.59604179252
"14","mixed_3500",2590.35008637238,-1292.17504318619
"15","mixed_3750",2591.01659252953,-1292.50829626476
"16","mixed_4000",2590.925096602,-1292.462548301
"17","mixed_4250",2591.36426478289,-1292.68213239145
"18","mixed_4500",2591.17300446222,-1292.58650223111
"19","mixed_4750",2590.29195889968,-1292.14597944984
"20","mixed_5000",2590.24261236152,-1292.12130618076
