"","model_name","AIC","logLik"
"1","seismic_250",2576.69794311138,-1285.34897155569
"2","seismic_500",2576.62510260585,-1285.31255130293
"3","seismic_750",2577.31794783853,-1285.65897391926
"4","seismic_1000",2567.19574829547,-1280.59787414774
"5","seismic_1250",2555.38246871418,-1274.69123435709
"6","seismic_1500",2549.1351793545,-1271.56758967725
"7","seismic_1750",2551.18469966984,-1272.59234983492
"8","seismic_2000",2555.69132115601,-1274.84566057801
"9","seismic_2250",2559.2167006681,-1276.60835033405
"10","seismic_2500",2562.80395778093,-1278.40197889046
"11","seismic_2750",2563.08898681027,-1278.54449340513
"12","seismic_3000",2566.77402591321,-1280.38701295661
"13","seismic_3250",2567.99619799918,-1280.99809899959
"14","seismic_3500",2568.1381414608,-1281.0690707304
"15","seismic_3750",2567.4346519645,-1280.71732598225
"16","seismic_4000",2567.32239797769,-1280.66119898884
"17","seismic_4250",2565.60807086244,-1279.80403543122
"18","seismic_4500",2568.07786191913,-1281.03893095956
"19","seismic_4750",2570.43978840925,-1282.21989420462
"20","seismic_5000",2570.87265477159,-1282.4363273858
